Time_Index,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3,Price_mmbtu_z4,Price_mmbtu_z5,Price_mmbtu_z6,Price_mmbtu_z7,Price_mmbtu_z8,Price_mmbtu_z9
147,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
148,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
149,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
150,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
151,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
152,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
153,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
154,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
155,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
156,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
157,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
158,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
159,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
160,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
161,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
162,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
163,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
164,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
165,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
166,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
167,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
168,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
169,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
170,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
171,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
172,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
