Time_Index,None,CA_reference_naturalgas,Biomass,CEN_reference_naturalgas,CEN_reference_uranium,MID_AT_reference_naturalgas,MID_AT_reference_uranium,NE_reference_naturalgas,NE_reference_uranium,NW_reference_naturalgas,NW_reference_uranium,N_CEN_reference_naturalgas,N_CEN_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,SW_reference_naturalgas,SW_reference_uranium,TX_reference_naturalgas,TX_reference_uranium,CA_reference_uranium
2285,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2286,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2287,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2288,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2289,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2290,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2291,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2292,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2293,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2294,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2295,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2296,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2297,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2298,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2299,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2300,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2301,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2302,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2303,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2304,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2305,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2306,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2307,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2308,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2309,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2310,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2311,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2312,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2313,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2314,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2315,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2316,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2317,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2318,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2319,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2320,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2321,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2322,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2323,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2324,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2325,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2326,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2327,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2328,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2329,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2330,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2331,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2332,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2333,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2334,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2335,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2336,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2337,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2338,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2339,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2340,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2341,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2342,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2343,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2344,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2345,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2346,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2347,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2348,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2349,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2350,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2351,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2352,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2353,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2354,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2355,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2356,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2357,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2358,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2359,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2360,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2361,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2362,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2363,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2364,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2365,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2366,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2367,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2368,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2369,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2370,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2371,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2372,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2373,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2374,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2375,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2376,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2377,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2378,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2379,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2380,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2381,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2382,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2383,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2384,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2385,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2386,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2387,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2388,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2389,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2390,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2391,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2392,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2393,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2394,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2395,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2396,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2397,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2398,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2399,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2400,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2401,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2402,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2403,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2404,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2405,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2406,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2407,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2408,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2409,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2410,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2411,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2412,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2413,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2414,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2415,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2416,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2417,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2418,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2419,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2420,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2421,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2422,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2423,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2424,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2425,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2426,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2427,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2428,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2429,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2430,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2431,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2432,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2433,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2434,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2435,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2436,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2437,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2438,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2439,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2440,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2441,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2442,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2443,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2444,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2445,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2446,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2447,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2448,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2449,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2450,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2451,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2452,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2453,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2454,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2455,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2456,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2457,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2458,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
