ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,180,46647,35541,37797,55800,147384,61620,81008,99937,71160
,181,46647,35541,37797,55800,147384,61620,81008,99937,71160
,182,46647,35541,37797,55800,147384,61620,81008,99937,71160
,183,46647,35541,37797,55800,147384,61620,81008,99937,71160
,184,46647,35541,37797,55800,147384,61620,81008,99937,71160
,185,46647,35541,37797,55800,147384,61620,81008,99937,71160
,186,46647,35541,37797,55800,147384,61620,81008,99937,71160
,187,46647,35541,37797,55800,147384,61620,81008,99937,71160
,188,46647,35541,37797,55800,147384,61620,81008,99937,71160
,189,46647,35541,37797,55800,147384,61620,81008,99937,71160
,190,46647,35541,37797,55800,147384,61620,81008,99937,71160
,191,46647,35541,37797,55800,147384,61620,81008,99937,71160
,192,46647,35541,37797,55800,147384,61620,81008,99937,71160
,193,46647,35541,37797,55800,147384,61620,81008,99937,71160
,194,46647,35541,37797,55800,147384,61620,81008,99937,71160
,195,46647,35541,37797,55800,147384,61620,81008,99937,71160
,196,46647,35541,37797,55800,147384,61620,81008,99937,71160
,197,46647,35541,37797,55800,147384,61620,81008,99937,71160
,198,46647,35541,37797,55800,147384,61620,81008,99937,71160
,199,46647,35541,37797,55800,147384,61620,81008,99937,71160
,200,46647,35541,37797,55800,147384,61620,81008,99937,71160
,201,46647,35541,37797,55800,147384,61620,81008,99937,71160
,202,46647,35541,37797,55800,147384,61620,81008,99937,71160
,203,46647,35541,37797,55800,147384,61620,81008,99937,71160
,204,46647,35541,37797,55800,147384,61620,81008,99937,71160
,205,46647,35541,37797,55800,147384,61620,81008,99937,71160
,206,46647,35541,37797,55800,147384,61620,81008,99937,71160
,207,46647,35541,37797,55800,147384,61620,81008,99937,71160
,208,46647,35541,37797,55800,147384,61620,81008,99937,71160
,209,46647,35541,37797,55800,147384,61620,81008,99937,71160
,210,46647,35541,37797,55800,147384,61620,81008,99937,71160
,211,46647,35541,37797,55800,147384,61620,81008,99937,71160
,212,46647,35541,37797,55800,147384,61620,81008,99937,71160
,213,46647,35541,37797,55800,147384,61620,81008,99937,71160
,214,46647,35541,37797,55800,147384,61620,81008,99937,71160
,215,46647,35541,37797,55800,147384,61620,81008,99937,71160
,216,46647,35541,37797,55800,147384,61620,81008,99937,71160
,217,46647,35541,37797,55800,147384,61620,81008,99937,71160
,218,46647,35541,37797,55800,147384,61620,81008,99937,71160
,219,46647,35541,37797,55800,147384,61620,81008,99937,71160
,220,46647,35541,37797,55800,147384,61620,81008,99937,71160
,221,46647,35541,37797,55800,147384,61620,81008,99937,71160
,222,46647,35541,37797,55800,147384,61620,81008,99937,71160
,223,46647,35541,37797,55800,147384,61620,81008,99937,71160
,224,46647,35541,37797,55800,147384,61620,81008,99937,71160
,225,46647,35541,37797,55800,147384,61620,81008,99937,71160
,226,46647,35541,37797,55800,147384,61620,81008,99937,71160
,227,46647,35541,37797,55800,147384,61620,81008,99937,71160
,228,46647,35541,37797,55800,147384,61620,81008,99937,71160
,229,46647,35541,37797,55800,147384,61620,81008,99937,71160
