Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,,,,381,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,382,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,383,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,384,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,385,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,386,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,387,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,388,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,389,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,390,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,391,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,392,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,393,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,394,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,395,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,396,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,397,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,398,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,399,54187,16401,29348,27810,30573,11486,59290,32442,33624
