Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
,,,,,,,149,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,150,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,151,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,152,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,153,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,154,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,155,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,156,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,157,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,158,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,159,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,160,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,161,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,162,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,163,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,164,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,165,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,166,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,167,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,168,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,169,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
