Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
,,,,,,,,271,32111,34876,39377,62261,81295,78478,131079,98037,35496
,,,,,,,,272,33080,36700,41910,70581,88891,86459,140772,104867,38809
,,,,,,,,273,35446,40185,45522,73606,91623,89741,139748,105289,40032
,,,,,,,,274,39588,44451,47310,71908,91532,89068,138360,104749,40703
,,,,,,,,275,41608,46097,46652,71374,92177,89439,137999,105025,41131
,,,,,,,,276,42074,45220,45976,71007,92719,89170,137375,104775,41306
,,,,,,,,277,42253,43979,45146,69703,92749,88115,136880,104189,41248
,,,,,,,,278,42389,42678,44136,68319,92659,86885,136582,103493,41176
,,,,,,,,279,42209,41286,43264,67050,92598,86173,136391,102687,40825
,,,,,,,,280,42184,40040,42692,65992,92561,85319,136726,102619,40931
,,,,,,,,281,42577,39305,42382,66005,93431,85354,138953,104823,42756
,,,,,,,,282,42492,39024,42429,67941,96904,87221,145560,110900,44988
,,,,,,,,283,42489,39673,43346,71108,100431,92100,156528,113586,44700
,,,,,,,,284,42515,41580,46153,76020,99873,95713,158223,112453,43217
,,,,,,,,285,45477,43696,48166,76446,97924,95386,156506,110589,41259
,,,,,,,,286,46281,43698,48135,76377,95192,94442,151549,106792,38634
,,,,,,,,287,45350,43001,47414,74471,90731,91683,143592,100948,35286
,,,,,,,,288,44132,41740,45912,71000,86066,87337,135095,94680,32146
,,,,,,,,289,41887,39520,43254,67403,82228,83574,128942,90350,29936
,,,,,,,,290,38678,36755,40929,65219,80000,81463,126760,88073,28725
,,,,,,,,291,35809,34653,39320,64426,78809,80851,126842,87478,28086
,,,,,,,,292,33829,33416,38517,64197,78322,80709,128195,88157,27868
,,,,,,,,293,32725,33092,38399,64664,79110,81436,132248,90710,28378
,,,,,,,,294,32088,33280,38661,66477,82088,83556,141877,97162,30645
,,,,,,,,295,32124,34071,39888,71075,88336,88006,158016,107644,35153
,,,,,,,,296,33044,35910,42443,78300,95066,95414,169105,115571,38406
,,,,,,,,297,35473,39493,46033,80147,97723,98184,169655,116971,39318
,,,,,,,,298,39911,43732,47925,76911,97512,95528,167667,117800,39982
,,,,,,,,299,42374,45827,47231,73234,97715,92516,165395,118646,40442
,,,,,,,,300,42752,45178,45866,70041,97579,89363,161376,118622,40594
,,,,,,,,301,42882,43835,44758,66401,96857,86209,157010,117939,40536
,,,,,,,,302,42929,42507,43713,63425,95915,83102,152780,116953,40614
,,,,,,,,303,42523,40994,42610,60791,94999,80531,149135,115876,40480
,,,,,,,,304,42111,39920,41747,58659,93866,78190,146731,115532,40897
,,,,,,,,305,42211,39212,41216,57938,93850,77152,148422,117442,42949
,,,,,,,,306,41984,38995,41068,58328,96794,78484,156118,123798,45584
,,,,,,,,307,41782,39499,41698,60560,100165,83313,167095,125578,45427
,,,,,,,,308,41926,40845,43867,65508,98757,87154,167719,123148,43965
,,,,,,,,309,44989,42430,45777,66301,96428,87185,166218,120728,42203
,,,,,,,,310,45442,42029,45525,66447,93912,86618,162190,116948,40107
,,,,,,,,311,44356,41051,45015,66299,90407,85538,156388,111654,37405
,,,,,,,,312,43169,39881,44147,63776,85586,82654,150193,105521,34623
,,,,,,,,313,41221,38007,42088,61502,81687,79642,144740,100916,32481
,,,,,,,,314,38484,35822,40013,59843,79086,77459,142352,98134,31136
,,,,,,,,315,35679,33767,38549,59131,77536,76316,141992,96752,30271
,,,,,,,,316,33580,32490,37749,58999,76643,75776,142976,96113,29938
,,,,,,,,317,32315,31872,37467,59468,76618,75840,146173,96682,30099
,,,,,,,,318,31560,31655,37532,60846,77628,76848,151352,98913,30927
,,,,,,,,319,31372,31914,38091,63275,79967,78794,159436,102697,32685
,,,,,,,,320,31861,32688,39282,66259,83424,81495,167639,106944,34505
,,,,,,,,321,32981,34274,40891,68848,86092,83908,173116,109939,36580
,,,,,,,,322,34899,36309,42304,68960,87850,84132,170598,111325,38238
