Resource,Liquid_DAC_1,Liquid_DAC_2,Liquid_DAC_3,Liquid_DAC_4,Liquid_DAC_5,Liquid_DAC_6,Liquid_DAC_7,Liquid_DAC_8,Liquid_DAC_9,Liquid_DAC_10,Solid_DAC_1,Solid_DAC_2,Solid_DAC_3,Solid_DAC_4,Solid_DAC_5,Solid_DAC_6,Solid_DAC_7,Solid_DAC_8,Solid_DAC_9,Solid_DAC_10
t199,0.0006668584706328744,0.0006532520278886742,0.0006336796296508499,0.0006384566699981017,0.000665400155851746,0.00035967073115365843,0.000659673333644283,0.0006363732200381491,0.0006857896456007621,0.0005470891894721868,1.1762358400002237,160.1480314959436,0.012443094923569997,0.06832592510254722,35.15598740812055,2.265691715229687,217.6020838270424,196.63159091276202,0.039798886911187,15.310333764520427
t200,0.0006677421433440741,0.0006536210968749983,0.0006334951851868816,0.0006388025729032049,0.0006637381671752136,0.0003613399700343624,0.000648862180776122,0.0006367224272574208,0.0006859476850596083,0.0005472847888577368,1.17623701330697,160.14803303736468,0.012443481357599043,0.06832644625920664,35.1559866079473,2.265691446762479,217.6020747927542,196.63159137285135,0.039799337145494114,15.310334372012795
t201,0.0006680891180210671,0.0006536010717505224,0.0006339542953789031,0.0006390877145012004,0.0006633703759521934,0.0003605042065358406,0.0006498384274984092,0.0006365780175400145,0.0006861366557435896,0.0005472428301063739,1.1762366422948396,160.1480337299816,0.012443311478424778,0.06832661006151311,35.155986983881924,2.2656917416080335,217.60207621297943,196.63159072399662,0.03979989152702442,15.310335184173331
t202,0.0006679339608800034,0.000652798540920714,0.0006329911569816427,0.000638524010606189,0.0006626585853876242,0.00035779608109388553,0.0006480602391468535,0.0006363652670200491,0.0006860782267912454,0.0005469055816793924,1.1762364437659287,160.14803373606372,0.012442577918326305,0.06832607868220432,35.155986801020056,2.265691626400771,217.60207457017503,196.6315903824533,0.039799658057824185,15.310334952824443
t203,0.000667886926846947,0.0006520423198272877,0.0006323955971144872,0.000637813114939638,0.0006620649191997785,0.0003633763491982789,0.0006486541377087743,0.0006361441829062938,0.0006855322776878972,0.0005466285395628786,1.1762366156702864,160.14803377323005,0.012442547366036425,0.06832587069411035,35.15598692384856,2.2656905529740197,217.60207542278107,196.63159031895174,0.039799522345168134,15.310334792529131
t204,0.0006680941386272325,0.0006524465696886309,0.0006333963980292507,0.0006384203783042545,0.0006617111165793789,0.0003606711920022027,0.0006490951742523252,0.0006362920662906196,0.0006859921095545633,0.0005468691333299155,1.17623681700641,160.1480343887721,0.012443245919164658,0.06832628079096614,35.15598679191576,2.2656904548836883,217.60207577238808,196.63159053213585,0.03979962833837296,15.310334829199514
t205,0.0006667120953264487,0.0006510315790205668,0.0006340969100915909,0.0006372296025727546,0.0006596882006749511,0.0003639432317170577,0.0006485135444965095,0.0006346650944614891,0.0006849046894509804,0.0005456998530764836,1.1762357283256026,160.14803297054812,0.01244334524462872,0.06832500704784511,35.15598506956214,2.2656901396984273,217.6020748126924,196.63158950029975,0.03979810613113037,15.310333297297166
t206,0.0006670607713661446,0.0006516227093522169,0.0006352882009070075,0.0006376013216123564,0.0006598095547224234,0.00036338068110064686,0.000648884234292793,0.0006351209059297437,0.0006852993595063008,0.000546032815660804,1.1762358148178456,160.14803304759883,0.012443896229929393,0.06832562413529288,35.15598562253275,2.2656899269140056,217.60207580964052,196.6315897264868,0.039799097149481814,15.310334422421139
t207,0.0006685519680166416,0.0006522551950158481,0.0006365071617722608,0.0006385677603808368,0.0006609243412174009,0.0003553701750085951,0.0006509638167580226,0.0006366015624912251,0.0006864613181664726,0.0005469727696487783,1.176237992779357,160.14803423636624,0.012445777250269949,0.06832725361592815,35.1559877298937,2.2656886681973702,217.6020788386808,196.63159175934987,0.03980113568914849,15.310336472631667
t208,0.0006678627087339807,0.0006537428982858847,0.0006354585010954822,0.0006395614032721096,0.0006598096069199847,0.00035511679565158525,0.0006511173564233224,0.0006358804264018313,0.00068567223438906,0.0005460140783275973,1.1762379341776725,160.14803517393455,0.012445385897486824,0.06832809970828586,35.1559871401011,2.2656881260566304,217.60207911886658,196.63159184635282,0.039800552536241866,15.310335854454287
