Resource,CAPTURE_COMP_1,CAPTURE_COMP_2,CAPTURE_COMP_3,CAPTURE_COMP_4,CAPTURE_COMP_5,CAPTURE_COMP_6,CAPTURE_COMP_7,CAPTURE_COMP_8,CAPTURE_COMP_9,CAPTURE_COMP_10
t768,1.1769079272933762,160.14869664150277,0.013093497020856314,0.06897804421833213,35.15665493740884,2.266143402629855,217.6027418586688,196.6322466300149,0.04048231656414382,15.31087525446994
t769,1.1769074742931636,160.1486954525374,0.013092611627349798,0.06897752050068005,35.15665412774353,2.26614833296829,217.60274227437046,196.63224614907486,0.04048193654880909,15.310874145811052
t770,1.1769078068287133,160.14869574302887,0.013093436612959034,0.06897819299846521,35.15665434411814,2.266145371128929,217.60274263998585,196.63224680670726,0.04048291879464949,15.310874933312373
t771,1.1769081020446113,160.14869633059823,0.013094186338557808,0.06897916623644901,35.156655214846225,2.2661480514404446,217.60274304421324,196.63224727323094,0.04048439002917071,15.31087602864747
t772,1.1769045821357387,160.148693427171,0.013090666877401085,0.06897574358315478,35.156651285143965,2.2661542223018443,217.6027394581466,196.63224393257622,0.040481672009397514,15.310872783706747
t773,1.176901616954157,160.1486907858491,0.013087560852424187,0.06897270224184285,35.15664792370185,2.266162790950707,217.6027365544838,196.63224099278557,0.04047907138972097,15.310870132799108
t774,1.1769011457793555,160.148690487207,0.013086868623166334,0.06897228960585663,35.15664742549774,2.2661640527551636,217.6027361204306,196.63224049460698,0.04047879573561605,15.310869873788665
t775,1.176904569129457,160.14869444071036,0.013087312104484496,0.06897614203987613,35.156651425817344,2.266152118490992,217.60273963559612,196.63224401850127,0.0404822990111811,15.310873270717908
t776,1.1769102026746263,160.14869988195045,0.013093611962411832,0.06898229416482819,35.15665828055933,2.2661444777951663,217.60274611798403,196.63224945632734,0.040488190198224035,15.310879560333692
t777,1.176911589183298,160.1487018529105,0.013096033774805131,0.06898401962199285,35.156660207851736,2.2661398920882534,217.6027488427353,196.6322509540608,0.04048982250743682,15.310881603819084
t778,1.1769145155767442,160.14870469675438,0.013099389077789788,0.06898709459868052,35.15666302183083,2.2661255379149594,217.60275123309293,196.63225401145922,0.040492864580535505,15.31088527874587
t779,1.1769143715354589,160.1487039633768,0.013100092585587916,0.06898680579549489,35.15666260802324,2.2661172915714993,217.60275211544538,196.63225360761913,0.04049266456248641,15.31088583003597
t780,1.1769137091659965,160.14870304285967,0.013099554575302211,0.06898565816488378,35.15666187425987,2.2661124113428515,217.60275078867804,196.6322529356296,0.040491615048503515,15.310885054899945
t781,1.1769156427915788,160.14870396585056,0.013101496441090854,0.0689874998407455,35.15666371315523,2.2661128849625922,217.60275287768073,196.63225487259356,0.04049370338176356,15.310886959475972
t782,1.1769147589370959,160.1487029220796,0.013100561606692821,0.06898650068397442,35.156662434018735,2.266116179130265,217.60275231379228,196.63225402648362,0.040492625462111013,15.310885987138326
t783,1.1769177395078514,160.14870577840898,0.013103887922526316,0.06898959649349912,35.15666565802311,2.266113586226812,217.60275568011633,196.63225703650951,0.040495923804511176,15.310889359835235
t784,1.1769204589830404,160.1487086419322,0.013107121606247617,0.06899233586352667,35.15666845066396,2.266110566578569,217.60275847871975,196.63225972075566,0.04049873617840089,15.310892104675048
t785,1.1769184271638442,160.1487082555618,0.013105614281282296,0.06899062855053871,35.156667108445255,2.266108598024726,217.6027567899478,196.6322577128522,0.040496555983114836,15.310890212465607
t786,1.17691408259389,160.14870409683533,0.01310054245115156,0.0689864081212475,35.15666267424843,2.266115653845618,217.60275225417834,196.6322534238026,0.04049211102966054,15.310885781410853
