,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t37,12184.232801316102,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11401.017737082764,3433.825899522638,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3257.121515781023,1620.5394192564281,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1554.2014145740288
t38,12318.745684563091,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11535.530620329753,3471.6627419131237,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3294.958358171509,1638.4038033319919,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1572.0657986495926
t39,12290.37187325318,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11507.156809019842,3463.2545547152376,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3286.550170973623,1635.251264965716,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1568.9132602833165
t40,12237.326045594844,0,-7.9053225629540975,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11446.20565879855,3446.4381803194665,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3269.7337965778515,1625.793649866888,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1559.4556451844887
t41,12227.863334154887,0,-23.663776731809776,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11420.984493189739,3439.081016521316,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3262.3766327797016,1446.10845522015,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1557.353952940305
t42,12121.72426221781,0,-23.663776731809776,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11314.845421252661,3408.60133792898,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3231.8969541873653,1608.9801119134165,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1542.6421072310172
t43,11836.758700959717,0,-0.0,0,0,-0.0,33.260412146619,0.0,-0.0,-0.0,-11086.804048872998,3343.4378871453646,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3166.73350340375,1709.434800581921,0,-130.92922620917165,0,0,-0.0,0.0,0.0,0.0,-0.0,-1512.16756969035
t44,11603.124408347436,0,-0.0,0,0,-0.0,100.88943677188867,0.0,-0.0,-0.0,-10943.88411042307,3302.4479745556714,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3125.743590814057,1655.8708669107523,0,-98.38221497984244,0,0,-0.0,0.0,0.0,0.0,-0.0,-1491.1506472485105
t45,11603.124408347436,0,-0.0,0,0,-0.0,167.56743120065835,0.0,-0.0,-0.0,-11011.140552046567,3321.3663957509148,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3144.6620120093,1566.9462670297376,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1500.6082623473383
t46,11310.949942111034,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10527.734877877696,3183.682330385534,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3006.9779466439195,1501.7938074600352,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1435.4558027776359
