Resource,CCGT-H2_1.0,Fuel_cell_1.0,CCGT-H2_2.0,Fuel_cell_2.0,CCGT-H2_3.0,Fuel_cell_3.0,CCGT-H2_4.0,Fuel_cell_4.0,CCGT-H2_5.0,Fuel_cell_5.0,CCGT-H2_6.0,Fuel_cell_6.0,CCGT-H2_7.0,Fuel_cell_7.0,CCGT-H2_8.0,Fuel_cell_8.0,CCGT-H2_9.0,Fuel_cell_9.0,CCGT-H2_10.0,Fuel_cell_10.0
t195,0.0012882005550577072,0.0008964290336308951,0.001402681924929306,0.0009075332187937289,0.23589201803489282,0.0025875172007878114,0.0011293438054198527,0.0009289157161578839,0.0005066482655706876,0.0007169210174678034,303.9370527011496,0.003399901913539661,0.0010585668909208438,0.0008456140698649336,0.0017973005757395892,0.001111722963021998,0.0011403518678853922,0.0005868004033885064,0.006986642518227993,0.0022699937026942167
t196,0.0012700695861114606,0.0009019054253605692,0.001507511521105513,0.0009069882137267858,9.134348893754053,0.0028482951425176637,0.0010375774744857628,0.0008907488195909492,0.0005747378000030189,0.0007671800751016181,252.50312256993186,0.003401480394769176,0.0009574539156218499,0.0008412619673982124,0.0017231217079316974,0.0011210635572695183,0.0011198851150368628,0.0005876586792530395,0.0068902719000392505,0.0022848986620177254
t197,0.0013647175257681349,0.0009527393528170287,0.0016245108417562385,0.0009207823063846138,17.71265256737813,0.0029155373003148075,0.0010692105632261102,0.0010144264918795646,0.0005151873788800319,0.0008035864666041731,180.41405988970345,0.003397743720493354,0.0009002551688456581,0.0007777046206409694,0.0017584583652618094,0.0012091536868977838,0.0011662340102306184,0.0006017539845439765,0.006999316594672593,0.002313679260938055
t198,0.0035407206364251593,0.0015570662378057312,0.0021834379609819883,0.0012354861418263578,55.67570298332726,0.0029568841294631736,0.004931527015138259,0.0019886059077603583,0.000953855674620541,0.0011845798982441265,163.7432793365918,0.003396486077545776,0.0009477075500104854,0.0008017325647182287,0.00951771741768568,0.002629794505271075,0.001171285340089373,0.0006029367725317405,0.00676945017694193,0.002306307981896304
t199,0.006292227985760505,0.0018403753081981183,0.010886554195343555,0.002114993594709412,225.332715856247,0.0031975069565038324,0.02366249430568953,0.002463066247457059,0.001531620266431781,0.0015102100104925733,267.0984813725966,0.0033989606242231193,0.000961457579020815,0.0009609577497066884,3043.95336790669,0.003372121349365339,0.0011611072052685302,0.0006001224806987624,0.007986067067070307,0.002444398960309069
t200,0.005801810322803744,0.001913883581850993,0.012165349517741335,0.002208291804325263,225.3355314945814,0.0032533115156802477,0.03496074755064458,0.0025594545101661178,0.0015001722910428347,0.0015731776342271906,922.6505971727511,0.003392499817248277,1052.8692840339957,0.00264422062045748,6114.48319590128,0.0034859660767099804,0.001156557277622254,0.0005995628236129784,0.00806976518287816,0.0024546034715581394
t201,0.005116252994741905,0.0019324519783739602,0.01208499950382845,0.002217160328240242,225.3306767875911,0.003195575558074738,0.019370351342037562,0.002525275435120892,0.0016181543612201136,0.0015749182279093214,1007.6097528560256,0.00338606405120216,3951.845095108745,0.002947467580293607,6315.807165704052,0.0035083090758482715,0.0011335651213454335,0.0006005970473357082,0.008122651003155337,0.00245293381421605
t202,0.006678764397556892,0.001985345046604179,0.005878094359527955,0.002137434283043008,225.3355948333336,0.0032703926870315037,0.038967589576063624,0.0025976837543360246,0.0012924762949866214,0.001463054697136982,1029.1576305668946,0.003378701180879769,5298.009780680273,0.003019315796896023,7046.790035608592,0.0035108355284176034,0.0011453859182743358,0.0006025871074843387,0.008242671481106056,0.0024568139807956196
t203,0.00682217940721908,0.0019940416361172793,0.0083956165903482,0.0022145939569787223,225.33579781490195,0.0032780098658991065,0.046863977887215115,0.0026053639036079865,0.0012578734741016048,0.0014484631585571157,1121.4608597228316,0.0033561979850352526,6568.31863677557,0.0030218353924932164,7743.638147860345,0.003509028281768917,0.0011382363128927394,0.0006034658489613808,0.008306701272129036,0.002464542123340969
t204,0.00782270875811791,0.00200051854482802,0.006057605666698554,0.002137326491310443,225.33148346248282,0.0031833505481064558,0.02406917241055774,0.0025377252764749343,0.0012530252198055373,0.0014503566241077662,1094.7422692058765,0.0033544093535932754,6636.446369891793,0.0030216286540331364,6593.742884645857,0.0035120674570058097,0.0011425279740513948,0.00060360207528346,0.008397943548071414,0.002485137734965213
t205,0.00768333455506922,0.0019985525868681207,0.005925933550959718,0.0021221243729616854,177.412749093543,0.0028853348709897758,0.02466511976140942,0.0025232181188859174,0.0011907019725344305,0.001445374134949559,1122.0132267885294,0.0033428649268210098,7217.86116190929,0.0030145216293947018,6143.5654381608,0.0035141726061608887,0.0011495463802460811,0.0006034024404783967,0.008446195319142645,0.00249423355935825
t206,0.007548090367327769,0.0020001953544715742,0.004796298259870215,0.002120853192521742,131.6649255140512,0.002870410858512154,0.023731269961993193,0.002524672785262489,0.001203335042121214,0.0014338244065058828,1143.923212332994,0.0033354552523212947,6778.980539380119,0.0030128817545949575,5990.338375738271,0.00351487553591594,0.0011293982066905488,0.0006038907843360765,0.0083988355018434,0.002495996563464607
t207,0.006607449867877226,0.001937965348288926,0.0036837489733778797,0.0021363458195573387,94.81646771070533,0.0028909430857898648,0.01998606845198372,0.002493327638526061,0.001227142141492503,0.0014081860826732958,1173.9984831268512,0.0033222105929177972,6970.026031102762,0.003005440007623935,5401.919668803931,0.0035047526117297297,0.0011350048383162229,0.0006030920002531769,0.008391856418760361,0.002494058618782861
t208,0.004918348771511964,0.0018773731735835834,0.00281031742711888,0.0018373356029198734,51.018987114869866,0.0029054789260695687,0.0036858681755794513,0.0020925829727049825,0.0014670240616774814,0.0015004215825149129,1174.1014040379519,0.0033237599401391297,6228.013688462709,0.0029943306469748217,3553.7711089105164,0.003500391488616475,0.001133821845886658,0.0006008443360157351,0.008379757227338937,0.002497266436874957
t209,0.005706785909567235,0.0018828899270912612,0.0028757107314512018,0.0018004347282279732,57.392531686884645,0.002902395657313194,0.003592136006630024,0.0020428305343181347,0.0014306656149616916,0.0015161000122100796,1212.0196824979353,0.003349680437205498,7455.540062896243,0.002956052590697965,4899.966487838297,0.003495252412593015,0.0011439325352832373,0.0006003547356118168,0.008364061939037565,0.0024972350678771765
t210,0.007913973196983498,0.0019398046068617137,0.0032153028784346832,0.0018066922389375483,68.75688806565795,0.0029088353811371746,0.0035161860264597373,0.0020544425153687907,0.001490099593050258,0.001557440468919778,1250.8126717091711,0.004004687542273737,8783.410246696045,0.0028686185541209105,6086.359785500546,0.0035038181106181957,0.0011530684372134874,0.0006001793957743078,0.008335494665444136,0.0024923467895486225
t211,0.005838100617808378,0.001946173641835152,0.002984851954099985,0.0018356263222900065,172.69644038377012,0.002884468907810152,0.0035508938479109765,0.0020824752689477042,0.0016611057217655852,0.0015450055300664004,1250.8127436780783,0.004141155694812191,9626.612458986598,0.002824379105182122,6893.0057035607415,0.0035027119389304997,0.0011406467191746091,0.0006014622288685725,0.008035850132596901,0.0024582167903817653
