,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption
t47,0.0008165819474018465,0.0008597436103704237,0.0026554060599788014,0.0010459545659448042,0.0010509839309426191,0.005568750760370035,0.00455299574448214,0.0006080561049448252,0.0036546464557221264,0.0029321516973626655
t48,0.000821061561109625,0.0008569028972999203,0.0026407475666754407,0.0010477157709471994,0.0010551741602655381,0.005667733359582125,0.004459284105182876,0.0006119052854708232,0.003641435337541078,0.002924603488976702
t49,0.001206571167039857,0.001368332107811313,0.0025518943832279722,0.001637355169291528,0.001551875711020958,0.005555243867370726,0.004254286150078991,0.0009214412886149976,0.0035679027468092555,0.002810428420959175
t50,0.0017660681185762517,0.002401602635824421,0.0025338772257513524,0.002702534659140604,0.0022221425223731195,0.005401826521357663,0.0040700703554561605,0.0014211969668141383,0.0034515827557787737,0.00264527137273498
t51,0.002772200794633288,0.0024803660044028595,0.0027337879235691323,0.0027702884797762705,0.003316662442370725,0.005280473710686655,0.003980782565158855,0.0022571698120589516,0.0033706116726902632,0.0025351480134686703
t52,0.002997980591366352,0.0027056649965611352,0.0026817980721122593,0.0029879462740173453,0.003542938345372822,0.005226436105419473,0.003948368461800256,0.002292144404286082,0.003332377307568393,0.0025116414547609847
t53,0.0011772100072650002,0.001112199654495802,0.0028433354232946214,0.0013470262478696045,0.001529759485761245,0.005455320211191866,0.004214889305238024,0.0009207645422397712,0.0035335625602949568,0.0028483264841037497
t54,0.0008373590630928986,0.0008281417040210231,0.000992635998271242,0.0009690421100680513,0.0011239056597780828,0.00563297415573877,0.004372406144274908,0.0006432911690638625,0.003595637258759885,0.0010743808163425218
t55,0.00035554684857913056,0.0003378800100447047,0.00039643518211021026,0.0003835309641938006,0.0004444556957433473,0.0057921028508158305,0.004870133473309256,0.0002720571662798042,0.0036339766555196283,0.0004393909951418153
t56,0.0003630627459576737,0.0003757957929482246,0.00025965538211171295,0.00029242955776836305,0.0004900258726859292,0.0014430780275976815,0.0012098405052776355,0.00029189355311496994,0.0038035277057330316,0.00028416530208456696
