Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0,Total
t31,0.0,0.0,0.0,0.0004962995657339648,0.0,0.0,0.0,1.2508714877711347,0.0,0.0,0.0,0.0012187658085562902,0.0,0.0,0.0,0.0015069200465602176,0.0,0.0,0.0,1.109055416604497,0.0,0.0,0.0,0.008489497555878064,0.0,0.0,0.0,0.06938114670527144,0.0,0.0,0.0,0.0005454597668266112,0.0,0.0,0.0,0.004251337032620235,0.0,0.0,0.0,5.989653040339078,8.435469371196158
t32,0.0,0.0,0.0,0.0005825983601425311,0.0,0.0,0.0,1.1901461563533713,0.0,0.0,0.0,0.0011378144938571893,0.0,0.0,0.0,0.001307339237716332,0.0,0.0,0.0,1.1090797918229143,0.0,0.0,0.0,0.00820696354011649,0.0,0.0,0.0,0.07308399599369922,0.0,0.0,0.0,0.000449735314881807,0.0,0.0,0.0,0.004383904446637031,0.0,0.0,0.0,5.475640942206048,7.864019241769384
t33,0.0,0.0,0.0,0.0006369341537789771,0.0,0.0,0.0,1.0801149415888038,0.0,0.0,0.0,0.0010836674674530571,0.0,0.0,0.0,0.001233020933657528,0.0,0.0,0.0,1.10890769204044,0.0,0.0,0.0,0.00865478939044424,0.0,0.0,0.0,0.07277359806045972,0.0,0.0,0.0,0.0004758060035147348,0.0,0.0,0.0,0.004461962404322743,0.0,0.0,0.0,5.170555825686679,7.448898237729554
t34,0.0,0.0,0.0,0.0005598614049396641,0.0,0.0,0.0,1.0457541640866406,0.0,0.0,0.0,0.0010469818775915001,0.0,0.0,0.0,0.0009963321880120859,0.0,0.0,0.0,0.0012833299717425323,0.0,0.0,0.0,0.0007349966702923339,0.0,0.0,0.0,0.07046502791421405,0.0,0.0,0.0,0.000496187090900799,0.0,0.0,0.0,0.004532014078751548,0.0,0.0,0.0,0.5948769405051711,1.720745835788256
t35,0.0,0.0,0.0,0.0005867851617385073,0.0,0.0,0.0,1.1253301895767653,0.0,0.0,0.0,0.0010365694583527106,0.0,0.0,0.0,0.0009889100913702221,0.0,0.0,0.0,0.0013080520842961077,0.0,0.0,0.0,0.0006483923430541052,0.0,0.0,0.0,0.07059992212189604,0.0,0.0,0.0,0.0005289635133260364,0.0,0.0,0.0,0.00469786048366001,0.0,0.0,0.0,0.5717773024518699,1.777502947286329
t36,0.0,0.0,0.0,0.0006106767506165273,0.0,0.0,0.0,1.0681483583370495,0.0,0.0,0.0,0.0010028089610651025,0.0,0.0,0.0,0.0009673174030296191,0.0,0.0,0.0,0.0013980709624569925,0.0,0.0,0.0,0.000688929610262043,0.0,0.0,0.0,0.07064102460828711,0.0,0.0,0.0,0.0005270799882680199,0.0,0.0,0.0,0.004344014483698757,0.0,0.0,0.0,0.5566953972292469,1.7050236783339807
t37,0.0,0.0,0.0,0.0005984851299135292,0.0,0.0,0.0,1.0510338844154838,0.0,0.0,0.0,0.0009951819120386878,0.0,0.0,0.0,0.0009623713983434429,0.0,0.0,0.0,0.0013632592991232905,0.0,0.0,0.0,0.0006844623037178782,0.0,0.0,0.0,0.07024630768324498,0.0,0.0,0.0,0.0005195991106898769,0.0,0.0,0.0,0.004483975531731336,0.0,0.0,0.0,0.5317597553386029,1.6626472821228897
t38,0.0,0.0,0.0,0.000618228235120103,0.0,0.0,0.0,1.048371063389902,0.0,0.0,0.0,0.0009822489520494942,0.0,0.0,0.0,0.0009547097234326118,0.0,0.0,0.0,0.0013312821161800806,0.0,0.0,0.0,0.0010260679692856343,0.0,0.0,0.0,0.06956489934983497,0.0,0.0,0.0,0.0005025333072777476,0.0,0.0,0.0,0.00454189199515048,0.0,0.0,0.0,0.5102582408370033,1.6381511658752366
t39,0.0,0.0,0.0,0.0006331013095857676,0.0,0.0,0.0,1.0884993819278357,0.0,0.0,0.0,0.000977372399503107,0.0,0.0,0.0,0.000953132878011348,0.0,0.0,0.0,0.0012965924850718634,0.0,0.0,0.0,0.005851539515853687,0.0,0.0,0.0,0.06881276451416596,0.0,0.0,0.0,0.0004668039400885051,0.0,0.0,0.0,0.004594867778409446,0.0,0.0,0.0,0.4865508451189867,1.6586364018675117
t40,0.0,0.0,0.0,0.000707656840697373,0.0,0.0,0.0,1.081973505798583,0.0,0.0,0.0,0.000998877413345024,0.0,0.0,0.0,0.0015883972440200369,0.0,0.0,0.0,1.1114433028637316,0.0,0.0,0.0,0.004744997872941075,0.0,0.0,0.0,0.06898499918027377,0.0,0.0,0.0,0.000763860120587385,0.0,0.0,0.0,0.004747093127792854,0.0,0.0,0.0,2.553171616927846,4.829124307389818
