Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuelv1,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster
NO3 0 solar,9,0,0,0,0,0,1,0,1,0,0,0,0,97255.18185,0,0,0,0,0,38407.17767,0,0,25000.002,0,0,0.01,0,0,None_NO3 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO3 0,1
SE3 0 CCGT,10,1,0,0,0,0,0,0,0,0,2000,0,0,-1,0,0,0,0,0,46264.07931,0,0,20000,0,0,4,0,6.46,,ng,500,0,1.18,2,1,0.7,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 0,1
SE3 0 biomass,10,1,0,0,0,0,0,0,0,0,5000,0,0,-1,0,0,0,0,0,127746.689,0,0,99999.99415,0,0,0,0,13.5,,biomass,100,0,4.3,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 1,1
SE3 0 coal,10,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,65680.53612,0,0,24999.988,0,0,6,0,10,,coal,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 2,1
SE3 0 nuclear,10,1,0,0,0,0,0,0,0,0,6871,0,0,-1,0,0,6871,0,0,289574.7347,0,0,0,0,0,8,0,10.46,,uranium,1000,0,0,36,36,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 3,1
SE3 0 offwind-ac,10,0,0,0,0,0,1,0,1,0,0,0,0,137709.252,0,0,0,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 4,1
SE3 0 offwind-dc,10,0,0,0,0,0,1,0,1,0,0,0,0,52846.51136,0,0,0,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 5,1
SE3 0 oil,10,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,23132.03965,0,0,6000,0,0,0,0,8.681933842,,oil,650,0,0,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 6,1
SE3 0 onwind,10,0,0,0,0,0,1,0,1,0,10017,0,0,935187.2318,0,0,10017,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 7,1
SE3 0 ror,10,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,125442.2265,0,0,60000,0,0,0,0,0,,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 8,1
SE3 0 solar,10,0,0,0,0,0,1,0,1,0,500,0,0,64433.32939,0,0,0,0,0,38407.17767,0,0,25000.002,0,0,0.01,0,0,,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 9,1
DE0 0 hydro,2,0,0,0,0,1,0,1,0,0,1298,0,0,-1,0,0,1298,0,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,10843.70061,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
FR0 0 hydro,5,0,0,0,0,1,0,1,0,0,6655,0,0,-1,0,0,6655,0,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,835.0520826,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
GB5 0 hydro,7,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
NO3 0 hydro,9,0,0,0,0,1,0,1,0,0,33055,0,0,-1,0,0,33055,0,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,2353.449129,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO3 0,1
SE3 0 hydro,10,0,0,0,0,1,0,1,0,0,16334,0,0,-1,0,0,16334,0,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,4229.010753,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 0,1
DE0 0 PHS,2,0,0,1,0,0,0,1,0,0,9422,73672.62365,0,-1,-1,0,9422,73672,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,0,0,0,0.866025404,1,0,7.819212869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
FR0 0 PHS,5,0,0,1,0,0,0,1,0,0,4655,60951.72621,0,-1,-1,0,4655,60951,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,0,0,0,0.866025404,1,0,13.09381873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
GB5 0 PHS,7,0,0,1,0,0,0,1,0,0,103.2477524,35.29332389,0,-1,-1,0,103,35,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,0,0,0,0.866025404,1,0,0.341831401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
NO3 0 PHS,9,0,0,1,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,0,0,0,0.866025404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO3 0,1
SE3 0 PHS,10,0,0,1,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,83628.15098,0,0,20000,0,0,0,0,0,,None,0,0,0,0,0,1,1,0,0,0,0.866025404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE3 0,1
