,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
t87,11266.504853835773,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11266.504853835773,3251.270769883943,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3218.233649990801
t88,11278.064554739813,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11278.064554739813,3254.42384008315,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3221.386720190008
t89,11293.827783245319,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11293.827783245319,3226.6418371886866,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-3226.6418371886866
t90,11209.75723121595,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11209.75723121595,3234.454395488171,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3201.417275595029
t91,10947.036756124173,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-10947.036756124173,3159.831734106935,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3126.7946142137926
t92,10701.093453414416,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-3.115707677246931,-10697.977745737167,3091.251379692103,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-35.92635666033995,-3055.325023031763
t93,10736.756382823958,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-11.45570767724693,-10725.300675146713,3148.699566889989,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-84.96635666033997,-3063.7332102296486
t94,10516.216774245031,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-16.85570767724693,-10499.361066567784,3124.367139506109,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-124.74635666033996,-2999.620782845769
t95,9495.605796499127,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-9476.852977510587,2863.1796109798406,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-156.7943566603395,-2706.385254319501
t96,8447.876541833122,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-8429.12372284458,2588.880965454894,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-180.98635666033996,-2407.894608794554
t97,7710.15744777541,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7691.40462878687,2377.7852621080124,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2196.6389054476726
t98,7247.769411613883,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7229.016592625341,2246.407337141047,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2065.2609804807066
t99,7003.964810728713,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-6985.211991740172,2175.988769358753,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-1994.8424126984128
t100,6915.690731097876,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-6896.937912109335,2138.524207765095,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-168.90635666033998,-1969.6178511047553
t101,7025.559746926597,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-14.075707677246932,-7011.48403924935,2093.8191787788605,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-90.5685788825622,-2003.2505998962984
