Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,MA_battery,CT_battery,Total
Zone,z1,z1,z2,z2,z2,z1,z2,0
t156,11566.323869415259,0.0,3308.069419688711,0.0,0.0,15.725089116145341,0.0,14890.118378220115
t157,11566.237697099428,0.0,3308.0441951271173,0.0,0.0,15.725089116145341,0.0,14890.00698134269
t158,11566.284986784945,0.0,3308.057858431314,0.0,0.0,15.725089116145341,0.0,14890.067934332405
t159,11566.313360596254,0.0,3308.0662666185117,0.0,0.0,15.725089116145341,0.0,14890.104716330912
t160,11566.284986784945,0.0,3308.057858431314,0.0,0.0,15.725089116145341,0.0,14890.067934332405
t161,11566.176745949208,0.0,3308.026327729322,0.0,0.0,15.725089116145341,0.0,14889.928162794675
t162,11566.063250703966,0.0,3307.9947970273297,0.0,0.0,15.725089116145341,0.0,14889.783136847442
t163,11566.087420987677,0.0,3308.001103167728,0.0,0.0,15.725089116145341,0.0,14889.81361327155
t164,11566.1620336026,0.0,3308.014594398956,0.0,0.0,15.725089116145341,0.0,14889.901717117702
t165,11565.968797500585,0.0,3307.9258722055692,0.0,0.0,15.725089116145341,0.0,14889.6197588223
t166,11566.0765288076,0.0,3307.928884954361,0.0,0.0,15.725089116145341,0.0,14889.730502878107
t167,11566.886254287172,0.0,3308.1312611257026,0.0,0.0,15.725089116145341,0.0,14890.74260452902
t168,11567.756384500677,0.0,3308.35571367144,0.0,0.0,15.725089116145341,0.0,14891.837187288264
