Resource,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,Total
t30,0.0,0.0,5.88055279333634e-9,1.250407417167245e-8,3.7020748893911255e-9,3.802839085360694e-9,1.3092322938147248e-8,9.799407260373231e-8,1.3579486023823974e-10,1.157292924568016e-10,0.0,0.0,5.9193445504290004e-9,8.19985224576563e-9,9.197002907657193e-9,0.0,1.0705058596400412e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6065071092415104e-7
t31,0.0,0.0,5.327992264522755e-9,1.1817883738592196e-8,3.4726703007043342e-9,3.6595018033519982e-9,1.2688932598545225e-8,8.997156397116336e-8,1.3109446886366608e-10,1.1209392747069438e-10,0.0,0.0,5.873874174435963e-9,7.83403593489468e-9,7.64523748390169e-9,0.0,1.0502450624890234e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4863990517269547e-7
t32,0.0,0.0,4.421813954610838e-9,9.971387090391946e-9,2.9025610424434233e-9,3.2304028161303123e-9,1.1456151651685642e-8,7.780817401780434e-8,1.2588436863194812e-10,1.080092342607453e-10,0.0,0.0,5.298167037548966e-9,6.784022225520342e-9,7.4176073671379055e-9,0.0,1.0300080068549574e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.296271816068519e-7
t33,0.0,0.0,3.815031971213977e-9,8.780369827792877e-9,2.5006927924699946e-9,2.947827207402438e-9,1.0568786427037177e-8,6.900215814140632e-8,1.2128664268081919e-10,1.0416055844047771e-10,0.0,0.0,4.878309460068098e-9,6.004735146336745e-9,7.569598896103027e-9,0.0,1.0061255841708894e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1639356962936904e-7
t34,0.0,0.0,3.371301347196493e-9,7.906599823030013e-9,2.243419794493201e-9,2.7279990229097193e-9,9.885057222861575e-9,6.207417993401925e-8,1.1619647084122558e-10,1.0058026475646347e-10,0.0,0.0,4.562117709587914e-9,5.477042201324839e-9,6.160341131064018e-9,0.0,9.812277069982148e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0472295769278454e-7
t35,0.0,0.0,3.027363869885325e-9,7.216988077627936e-9,2.0461160596881763e-9,2.5481121940665376e-9,9.31785755915603e-9,5.640359477737901e-8,1.1119654800451851e-10,9.720463641892257e-11,0.0,0.0,4.299871424721339e-9,5.051806337183748e-9,6.076297128893771e-9,0.0,9.549438892784733e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.629190300195316e-8
t36,0.0,0.0,2.748848669205419e-9,6.637827954483276e-9,1.8845470858423335e-9,2.3882180856112657e-9,8.799674758177187e-9,5.1620797228872975e-8,1.0625640737730303e-10,9.404191252388092e-11,0.0,0.0,4.0529744526103364e-9,4.6933390770063195e-9,6.236049842155992e-9,0.0,9.270373633765992e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.935527921020396e-8
t37,0.0,0.0,2.515543742635426e-9,6.124394658894021e-9,1.7432790827535282e-9,2.2378419020423395e-9,8.296844688627808e-9,4.7518870883446915e-8,1.018001510020514e-10,9.105995134846557e-11,0.0,0.0,3.800882046151852e-9,4.371642141538629e-9,5.178496032453744e-9,0.0,9.001257344041194e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20706678543352e-8
t38,0.0,0.0,2.312604671231307e-9,5.645486357304581e-9,1.6128078327747794e-9,2.089959738162371e-9,7.78961184815787e-9,4.413668323360439e-8,9.766639028771325e-11,8.827519122107482e-11,0.0,0.0,3.5273115383561606e-9,4.050940094450005e-9,4.9396166199925154e-9,0.0,8.748098316559788e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.637844449870836e-8
t39,0.0,0.0,2.133412236855051e-9,5.197794359853595e-9,1.490875069260342e-9,1.9396680741502067e-9,7.264976735254798e-9,4.1061842498440545e-8,9.37583630202023e-11,8.56530224025459e-11,0.0,0.0,3.1234221345384415e-9,3.574733853410776e-9,5.046791573403998e-9,0.0,8.536534564667774e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109829326623717e-8
