,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Bioresource Emissions,Biomass Capture,Conventional Fuels,Synfuel Production Emissions,Synfuels,Biofuels,Total
t39,6.549738068643923e-5,8.303482545426257e-7,-2.249469808233206e-6,1620.2487640405488,74.32844328142765,-13420.392177899039,-,2.2451124064897716e-6,2.7837863218100944e-6,1286.386520064976,-10439.428381404927
t40,7.122658259040564e-5,8.304502900002952e-7,-2.256335216714975e-6,1620.2487640532381,74.32844328209315,-13420.39217798513,-,2.2567700111584116e-6,2.7920132244383364e-6,1286.386520066542,-10439.428375733776
t41,8.253674299209796e-5,8.306453902692373e-7,-2.1948256506359013e-6,1620.2487640852678,74.32844328384887,-13420.392178204707,-,2.293383097786221e-6,2.819034203126969e-6,1286.386520068569,-10439.428364482043
t42,6788.456417479249,8.316836066617083e-7,-1.7394473990281839e-6,1620.2487646756806,74.32844331869016,-13420.392182417472,-,1.533224188775359e-6,1.933368856969023e-6,1286.3865200847345,-3650.9720343002878
t43,7769.550004569134,8.308458846477968e-7,-1.517659501713997e-6,1620.2487648082476,74.32844332748839,-13420.392183474409,-,1.5602486566134058e-6,1.8965183665489742e-6,1286.386520094663,-2669.8784479049223
t44,7167.348529816784,8.320080336464752e-7,-1.7263198324907783e-6,1620.2487646886987,74.32844331931385,-13420.39218248989,-,1.6669726149814017e-6,2.0369139692901423e-6,1286.3865200774217,-3272.079921778096
t45,7167.348566891302,8.321325085205168e-7,-1.7469919390881637e-6,1620.2487646906511,74.32844331939353,-13420.39218249925,-,1.6881959344418815e-6,2.054350099069482e-6,1286.3865200751432,-3272.0798846950747
t46,7167.348522881681,8.321970660180979e-7,-1.7609657553823265e-6,1620.2487646914099,74.32844331941503,-13420.392182500944,-,1.7436070638230768e-6,2.101445727373338e-6,1286.38652007342,-3272.079928618734
t47,7167.348533013423,8.32153415106289e-7,-1.7496679966139313e-6,1620.2487646975444,74.32844331975198,-13420.39218254939,-,1.7751650828139037e-6,2.129115647303368e-6,1286.3865200763241,-3272.0799184555826
t48,7167.348402159888,8.322078825361878e-7,-1.757351939661465e-6,1620.248764698151,74.32844331979214,-13420.39218255366,-,1.8053772611912417e-6,2.1564516929603085e-6,1286.3865200771102,-3272.080049262034
t49,5414.882605306261,8.322198638308809e-7,-1.7628785053167697e-6,1620.248764697039,74.32844331972522,-13420.39218254522,-,1.8311616132550854e-6,2.179187409830363e-6,1286.3865200779344,-5024.54584606457
t50,2758.5376783165984,8.321946956938311e-7,-1.7405732037629605e-6,1620.2487647108976,74.3284433206227,-13420.392182655074,-,1.822951958735117e-6,2.1703237579074627e-6,1286.3865200802197,-7680.89077314184
t51,2273.112311458166,8.322580446837066e-7,-1.7850283053243536e-6,1620.248764689079,74.32844331920904,-13420.39218248468,-,1.8151851084096666e-6,2.1672682748522027e-6,1286.3865200808248,-8166.316139907718
t52,2273.112299642045,8.321277594802764e-7,-1.7807134428116143e-6,1620.2487646901225,74.32844331930364,-13420.392182497655,-,1.8153792272199708e-6,2.1669306314829344e-6,1286.3865200847288,-8166.316151727731
t53,3273.6811923518126,8.319600591654461e-7,-1.7303995917571567e-6,1620.2487647132837,74.3284433208469,-13420.392182681397,-,1.7479190538007869e-6,2.103525785952604e-6,1286.3865200867701,-7165.747259255676
t54,3243.1689712847847,8.318541558456646e-7,-1.7222775669009059e-6,1620.2487647129535,74.32844332087973,-13420.39218267965,-,1.6475249440079858e-6,2.0158796822858883e-6,1286.3865200859684,-7196.259480502083
t55,2273.112255893981,8.318896683085933e-7,-1.8334235011976245e-6,1620.2487646437107,74.32844331649937,-13420.392182130805,-,1.7338591397527103e-6,2.103912075256928e-6,1286.3865200749547,-8166.316195365422
t56,2273.1122523496647,8.317689391146244e-7,-1.8343331932673272e-6,1620.2487646400587,74.3284433163262,-13420.392182097403,-,1.7633939039743303e-6,2.1297533337981832e-6,1286.3865200695052,-8166.316198831266
t57,2273.112250581442,8.316579100248232e-7,-1.8267804536336606e-6,1620.2487646401823,74.32844331634045,-13420.392182101437,-,1.6869732717916876e-6,2.059808958883963e-6,1286.3865200713271,-8166.316200740487
t58,2273.1122497339234,8.316234550096087e-7,-1.8244483601004153e-6,1620.2487646346556,74.3284433160781,-13420.392182054256,-,1.699674486048902e-6,2.070680082682982e-6,1286.3865200662815,-8166.31620152579
t59,2273.112249688003,8.316089884029473e-7,-1.823783184223558e-6,1620.2487646309007,74.32844331590356,-13420.392182022288,-,1.6961858774924055e-6,2.0673161359718715e-6,1286.3865200628336,-8166.31620155332
t60,2273.112250391802,8.316126030834659e-7,-1.8241894391819848e-6,1620.2487646280192,74.32844331576923,-13420.392181997722,-,1.7081178265729694e-6,2.0785606707810844e-6,1286.386520060264,-8166.316200807766
t61,2273.1122520188055,8.316391508254073e-7,-1.826043888682576e-6,1620.24876462692,74.32844331570091,-13420.392181988154,-,1.777411822257954e-6,2.1422055708932675e-6,1286.3865200593234,-8166.316199042191
t62,2273.112254944653,8.316393626134393e-7,-1.8274065181186613e-6,1620.2487646334994,74.32844331600765,-13420.392182048397,-,1.8138037204533005e-6,2.1756655765006476e-6,1286.3865200681146,-8166.31619609242
t63,2273.112261282238,8.316996358615311e-7,-1.8197932204845523e-6,1620.2487646387965,74.3284433162536,-13420.392182091433,-,1.8615235482395455e-6,2.219882326308592e-6,1286.3865200709488,-8166.316189689885
t64,13267.8832715649,8.316199933135539e-7,-1.7220739669895753e-6,1620.2487646932316,74.32844331978055,-13420.392182520844,-,1.9470520188200136e-6,2.290789240064994e-6,1286.386520075879,2828.4548204803355
t65,12150.587140302945,8.317610206009358e-7,-1.7048581840062095e-6,1620.2487646933819,74.328443319742,-13420.39218251905,-,1.6570700654252827e-6,2.032585173536876e-6,1286.3865200740104,1711.1586886875866
t66,15634.634557708032,8.319386706519414e-7,-1.6987174205341157e-6,1620.2487646941825,74.32844331976663,-13420.392182525162,-,1.7077602920346825e-6,2.0760367909296648e-6,1286.386520074862,5195.206106188698
t67,16831.527472474663,8.316262496799472e-7,-1.599883309603577e-6,1620.248764760344,74.32844332405628,-13420.392183052032,-,1.669736260258163e-6,2.0236975844686992e-6,1286.386520081041,6392.0990205132475
t68,16665.493722258147,8.317079402490872e-7,-1.601731616968398e-6,1620.248764758556,74.3284433238968,-13420.392183036016,-,1.7008465858611062e-6,2.05233288247978e-6,1286.3865200785833,6226.065270366318
t69,16665.493712991203,8.317815976730374e-7,-1.6210072318537979e-6,1620.248764760724,74.32844332402028,-13420.392183056581,-,1.7978775399443838e-6,2.1416715053020855e-6,1286.3865200809028,6226.065261250589
t70,13328.732561511719,8.321609515210948e-7,-1.7315475396881942e-6,1620.24876469678,74.32844331977536,-13420.392182551326,-,1.939326801338559e-6,2.2845089629217358e-6,1286.3865200777118,2889.304110379109
t71,6227.194153573389,8.321730378141624e-7,-1.7568020898241579e-6,1620.2487646898703,74.32844331936383,-13420.392182502206,-,2.040382548558039e-6,2.378656381391041e-6,1286.3865200788464,-4212.234297346327
t72,1769.2331052407535,8.320985189524324e-7,-1.7510138362581448e-6,1620.2487646925547,74.32844331957897,-13420.392182535259,-,2.1303915880563628e-6,2.463611302443538e-6,1286.386520085061,-8670.195345522223
t73,54.041268477166966,8.320659276967519e-7,-1.8023070057001564e-6,1620.2487646723087,74.32844331836496,-13420.392182386486,-,2.1949784485368913e-6,2.5296020260236913e-6,1286.3865200839055,-10385.387182080402
t74,8.488698597835398e-5,8.323008812837816e-7,-2.161078903564964e-6,1620.2487644955402,74.3284433071576,-13420.392181033083,-,2.26547472365496e-6,2.6324046033633613e-6,1286.3865200780979,-10439.4283646962
t75,7.744737810572602e-5,8.322507436940423e-7,-2.2066516441449285e-6,1620.248764492538,74.32844330702785,-13420.392181017281,-,2.2184522982456527e-6,2.594798296063166e-6,1286.3865200796556,-10439.428372251834
t76,7.342635070612636e-5,8.321482064703858e-7,-2.2093066214896002e-6,1620.2487644898144,74.32844330689572,-13420.392180999792,-,2.206693937703888e-6,2.585939705051466e-6,1286.386520079485,-10439.428376281772
t77,7.065973842996828e-5,8.319867184343298e-7,-2.2109209189419707e-6,1620.2487644842515,74.32844330659103,-13420.39218096456,-,2.1380320261364613e-6,2.5262442669520823e-6,1286.3865200833866,-10439.42837914525
t78,6.861540919095418e-5,8.319135174664018e-7,-2.2284977995532646e-6,1620.248764459033,74.32844330507025,-13420.392180769897,-,2.044363312023095e-6,2.4471817463465116e-6,1286.3865200812384,-10439.428381214186
t79,6.878232306892427e-5,8.317239415401611e-7,-2.1451591671251695e-6,1620.2487644855005,74.32844330686943,-13420.392180971305,-,2.077601185685689e-6,2.47605235399905e-6,1286.3865200748714,-10439.428381081523
t80,6.86103669248229e-5,8.315971007369905e-7,-2.121899152122487e-6,1620.2487644795683,74.32844330661555,-13420.392180920471,-,2.1336874161201945e-6,2.5263979518769522e-6,1286.386520068705,-10439.428381085432
t81,6.868813969303027e-5,8.315142778081385e-7,-2.107243376571848e-6,1620.2487644741402,74.32844330636367,-13420.39218087271,-,2.112501736099404e-6,2.507424178220907e-6,1286.3865200622904,-10439.428380997579
t82,6.923087230113985e-5,8.314390240370173e-7,-2.101651928597667e-6,1620.248764474494,74.32844330638319,-13420.392180878986,-,2.0606857934375104e-6,2.4593714571236145e-6,1286.3865200645885,-10439.428380552803
t83,7.02350359564787e-5,8.314302767908102e-7,-2.1014550267034315e-6,1620.2487644705789,74.32844330620519,-13420.392180844688,-,2.0884526152658283e-6,2.484070501251927e-6,1286.3865200605978,-10439.428379469773
t84,7.178488416510779e-5,8.314326511004477e-7,-2.101345992521758e-6,1620.2487644698501,74.32844330618228,-13420.392180836561,-,2.078938868961368e-6,2.474964814728465e-6,1286.3865200587693,-10439.428377932885
t85,7.409189519004331e-5,8.314498463476322e-7,-2.1013250554171464e-6,1620.2487644714713,74.32844330626266,-13420.39218084713,-,2.0939061096160644e-6,2.488046514546688e-6,1286.3865200582723,-10439.428375607153
t86,7.746220139116049e-5,8.315003857270853e-7,-2.102781564885205e-6,1620.248764475514,74.32844330645801,-13420.392180876746,-,2.1353307395553147e-6,2.5249848720812204e-6,1286.3865200591624,-10439.428372184377
t87,8.264736021711368e-5,8.31540846292862e-7,-2.1053619099980246e-6,1620.2487644878931,74.32844330705039,-13420.392180980185,-,2.1175899071245513e-6,2.506937062259414e-6,1286.3865200701111,-10439.428367117065
t88,9.225631960909508e-5,8.316674842713246e-7,-2.0638712495380455e-6,1620.248764497426,74.32844330755263,-13420.392181049103,-,2.1986751182527203e-6,2.5762765818794598e-6,1286.3865200721732,-10439.428357372884
t89,8675.25168891158,8.316042826526718e-7,-1.74425287985172e-6,1620.2487646720663,74.3284433186224,-13420.39218238947,-,2.1401123785206863e-6,2.483561789130283e-6,1286.3865200813475,-1764.176761694831
t90,14562.605921412438,8.318683897535407e-7,-1.7276736138396573e-6,1620.248764668356,74.32844331826348,-13420.392182346499,-,1.8223424813498324e-6,2.1942732562074793e-6,1286.3865200781695,4123.177470251538
t91,13449.397166323793,8.31541708272886e-7,-1.5722504304943472e-6,1620.2487647704293,74.32844332492463,-13420.392183148106,-,1.857020950137399e-6,2.1956845706204276e-6,1286.3865200818282,3009.9687146648666
t92,13447.838160943898,8.319472968928863e-7,-1.686738209529528e-6,1620.248764705605,74.32844332052001,-13420.392182628864,-,1.958320303276311e-6,2.298748128975495e-6,1286.3865200788025,3008.4097098222396
t93,13447.83815672617,8.320550916025339e-7,-1.6994220454459612e-6,1620.248764707969,74.32844332062254,-13420.392182642689,-,1.9652123920382807e-6,2.3037500419915548e-6,1286.3865200771775,3008.4097055908455
t94,13447.838156288013,8.321039447812248e-7,-1.7040392455108518e-6,1620.2487647141586,74.32844332097253,-13420.392182687605,-,2.019038719463442e-6,2.3498455321856657e-6,1286.386520076487,3008.4097052089755
