,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions
t88,8.589517565905414e-6,1.0716137582478515e-5,7.785909748577413e-6,1.0304425878181895e-5,9.709378624186414e-6,8.782455882471743e-6,1.0076281188026586e-5,8.695224792644132e-6,8.500011164126898e-6,8.318327468667296e-6
t89,8.589546087992548e-6,1.0716334170666577e-5,7.786032988174956e-6,1.0304735915044543e-5,9.70903862052089e-6,8.780350032551401e-6,1.0076286533837892e-5,8.695359220359161e-6,8.500157297054014e-6,8.318440179342109e-6
t90,8.589567543505585e-6,1.0716477080748673e-5,7.786113275369715e-6,1.0305001858103493e-5,9.708718635504207e-6,8.779159764395996e-6,1.0076033462762624e-5,8.695429244819207e-6,8.50032631381992e-6,8.318530091490275e-6
t91,8.589243293662648e-6,1.0716355871024371e-5,7.785808384994807e-6,1.0304943906030098e-5,9.708194558408017e-6,8.780994232459798e-6,1.007575387653886e-5,8.695290984289473e-6,8.500239617884494e-6,8.318337808339877e-6
t92,8.589265990571512e-6,1.0716364771931025e-5,7.785751894726523e-6,1.0305076697445413e-5,9.708024370695595e-6,8.78053807483369e-6,1.0075976907911413e-5,8.695330923513604e-6,8.50039995634661e-6,8.318367376138185e-6
t93,8.589344757165177e-6,1.071641986433857e-5,7.785752974882907e-6,1.030523929777678e-5,9.707934513590833e-6,8.779259651351759e-6,1.007569422972827e-5,8.695351925574503e-6,8.500604758461267e-6,8.318430339641149e-6
t94,8.589423658980294e-6,1.0716424790133435e-5,7.785725952423638e-6,1.0305358448190089e-5,9.70778283925204e-6,8.778179488185865e-6,1.0075294911189427e-5,8.695314740588673e-6,8.500876450347616e-6,8.318524722081126e-6
t95,8.589340072012455e-6,1.0716286868824977e-5,7.785545874367468e-6,1.030540947107541e-5,9.707464435453294e-6,8.777186037677765e-6,1.0075031757220488e-5,8.695188394618665e-6,8.501012305663401e-6,8.318546723482461e-6
t96,8.58918030145767e-6,1.071607045305313e-5,7.785324779849052e-6,1.0305404685758186e-5,9.70707367616002e-6,8.779004027131864e-6,1.0074713622926047e-5,8.694869660574611e-6,8.500956684879916e-6,8.318435812730573e-6
t97,8.589323994004333e-6,1.0716106464022225e-5,7.785344730524592e-6,1.030570293944222e-5,9.707071919191375e-6,8.778324027572147e-6,1.007469818548233e-5,8.694749927675814e-6,8.50102860546168e-6,8.31854160085706e-6
t98,8.589542346394508e-6,1.0716232995232608e-5,7.785400396788947e-6,1.0306001423731493e-5,9.707154529802036e-6,8.777025241907457e-6,1.0074670771792308e-5,8.694809630347711e-6,8.501101920463475e-6,8.318655606006733e-6
t99,8.58953338199273e-6,1.071640025583538e-5,7.785458919927519e-6,1.0306252929558651e-5,9.707211856555782e-6,8.776477792908562e-6,1.007454090889792e-5,8.694783858993929e-6,8.501069485640112e-6,8.318707775986549e-6
t100,8.589550376717535e-6,1.0716578762023504e-5,7.785537162927246e-6,1.0306549293251618e-5,9.707218253362586e-6,8.776459093718062e-6,1.0074480057820222e-5,8.694801553313178e-6,8.501012974016183e-6,8.318767399184973e-6
t101,8.589202109010409e-6,1.0716677389919529e-5,7.785372956364782e-6,1.0306681782080413e-5,9.706978871361946e-6,8.779141586234377e-6,1.0074159944258115e-5,8.694488715502115e-6,8.500754841461525e-6,8.318597986600965e-6
t102,8.589189711655434e-6,1.0717007820488671e-5,7.785601797422336e-6,1.0307123823095511e-5,9.7070628055464e-6,8.779628024203172e-6,1.0074079842459777e-5,8.694393955699412e-6,8.500769194517391e-6,8.31875076138553e-6
t103,8.589200070432605e-6,1.0717424795646007e-5,7.785788202100648e-6,1.030753175638494e-5,9.707252812138713e-6,8.778835278328058e-6,1.0074059036785338e-5,8.694354817093697e-6,8.500765479498959e-6,8.318953145895683e-6
t104,8.58910970578883e-6,1.0717844664622886e-5,7.786137759284325e-6,1.0307891449925616e-5,9.707655524378066e-6,8.778504455155265e-6,1.0074007131697463e-5,8.694258936053627e-6,8.500810733931417e-6,8.319186518774634e-6
t105,8.589319755070539e-6,1.0718171466362635e-5,7.786408978059958e-6,1.0308183641790294e-5,9.708196990245726e-6,8.779087762137755e-6,1.0073933807340194e-5,8.694477075906746e-6,8.500938619669064e-6,8.319415912443889e-6
t106,8.589108004106091e-6,1.0718196929393545e-5,7.786315220856219e-6,1.0308080382145669e-5,9.708324166193042e-6,8.781916755032494e-6,1.0073654858119728e-5,8.694408120101079e-6,8.50069401723362e-6,8.319262741769918e-6
t107,8.58920043761367e-6,1.071839233167062e-5,7.786595361753197e-6,1.0308210618372329e-5,9.708548133007036e-6,8.782231134260253e-6,1.007360577516236e-5,8.694532891096826e-6,8.500555551283772e-6,8.319329929068931e-6
t108,8.589276915170863e-6,1.0718589000586283e-5,7.786606247867582e-6,1.0308326732061213e-5,9.708687852964384e-6,8.78094098659527e-6,1.0073603965316185e-5,8.694698508096316e-6,8.500362000741681e-6,8.319375299507364e-6
