Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
,,,,,,,250,823.042,4842.1648000000005,1823.294
,,,,,,,251,818.3164,4814.9926000000005,1813.0552
,,,,,,,252,848.2452000000001,4991.808800000001,1880.0012000000002
,,,,,,,253,901.4082000000001,5304.486,1997.7474
,,,,,,,254,936.0626000000001,5508.4744,2074.5384
,,,,,,,255,1012.4598000000001,5957.406400000001,2243.4786
,,,,,,,256,1075.074,6324.821800000001,2381.7024
,,,,,,,257,1044.7514,6148.0056,2315.1502
,,,,,,,258,982.5310000000001,5780.5902,2176.9264000000003
,,,,,,,259,808.8652000000001,4760.6482000000005,1792.5776000000003
,,,,,,,260,594.2442,3495.3688000000006,1316.4734
,,,,,,,261,430.0296,2529.7712,952.6022000000002
,,,,,,,262,323.70360000000005,1904.0230000000001,717.1098000000001
,,,,,,,263,191.78060000000002,1129.0246000000002,425.30400000000003
,,,,,,,264,108.6888,639.1374000000001,240.61180000000002
,,,,,,,265,73.24680000000001,431.211,162.24560000000002
,,,,,,,266,53.55680000000001,316.2214,118.92760000000001
,,,,,,,267,75.6096,445.3878,167.7588
,,,,,,,268,175.6348,1034.5126,389.4682
,,,,,,,269,378.4418,2226.939,838.7940000000001
,,,,,,,270,608.0272,3577.6730000000002,1347.1898
,,,,,,,271,752.1580000000001,4425.1306,1666.5616000000002
,,,,,,,272,862.0282000000001,5071.7502,1909.93
,,,,,,,273,908.4966000000001,5344.653600000001,2012.7118
,,,,,,,274,869.1166000000001,5115.0682,1926.0758
,,,,,,,275,864.3910000000001,5086.3208,1915.4432000000002
,,,,,,,276,896.2888000000002,5272.982000000001,1985.5396000000003
,,,,,,,277,952.2084000000001,5603.3802,2109.9804
,,,,,,,278,988.8318,5818.7888,2191.4970000000003
,,,,,,,279,1069.5608,6292.924000000001,2369.8884000000003
,,,,,,,280,1135.3254,6680.817000000001,2515.9882000000002
,,,,,,,281,1103.8214,6494.1558,2445.498
,,,,,,,282,1037.663,6106.2628,2299.3982
,,,,,,,283,854.546,5028.826,1893.7842000000003
,,,,,,,284,627.7172,3692.6626,1390.5078
,,,,,,,285,454.0514,2672.3268000000003,1006.5528
,,,,,,,286,341.8184,2011.5304,757.6712
,,,,,,,287,202.80700000000002,1192.4264,448.932
,,,,,,,288,114.59580000000001,675.367,254.3948
,,,,,,,289,112.6268,663.5530000000001,250.063
,,,,,,,290,79.5476,468.2282000000001,176.42240000000004
,,,,,,,291,77.18480000000001,453.2638,170.9092
,,,,,,,292,107.90120000000002,635.987,239.43040000000002
,,,,,,,293,200.4442,1179.431,444.20640000000003
,,,,,,,294,329.2168,1936.7084000000002,729.3176000000001
,,,,,,,295,499.73220000000003,2940.5046,1107.3656
,,,,,,,296,678.9112,3993.5258000000003,1503.9222
,,,,,,,297,860.4530000000001,5063.0866,1906.7796000000003
,,,,,,,298,952.996,5606.9244,2111.5556
,,,,,,,299,983.7124000000001,5789.2538,2180.0768000000003
,,,,,,,300,1028.9994,6053.8874,2279.7082
,,,,,,,301,1093.1888000000001,6433.116800000001,2422.6576000000005
,,,,,,,302,1141.2324,6714.290000000001,2528.5897999999997
,,,,,,,303,1197.152,7044.294400000001,2652.6368
,,,,,,,304,1228.2622000000001,7226.6238,2721.5518
,,,,,,,305,1167.2232000000001,6867.084400000001,2586.0846
