,Power Consumption,Power Consumption,Power Consumption
t157,783.6558830730208,222.41044421273054,2.031585190950013
t158,783.6558830730208,222.41044421273054,2.031585190950013
t159,783.6558830730208,222.41044421273054,2.031585190950013
t160,783.6558830730208,222.41044421273054,2.031585190950013
t161,783.6558830730208,222.41044421273054,2.031585190950013
t162,783.6558830730208,222.41044421273054,2.031585190950013
t163,783.6558830730208,222.41044421273054,2.031585190950013
t164,783.6558830730208,222.41044421273054,2.031585190950013
t165,783.6558830730208,222.41044421273054,2.031585190950013
t166,783.6558830730208,222.41044421273054,2.031585190950013
t167,783.6558830730208,222.41044421273054,2.031585190950013
t168,783.6558830730208,222.41044421273054,2.031585190950013
