,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss
t25,0.08807464219153821,0.07646849145234375,0.00030673315077652766,0.0012261948380732266,0.007214227823933324,1.8303616838568638e-5,0.06427041369359321,0.11941929952578649,0.0004476550206307013,3.3148206792492454e-5
t26,0.08807266510066054,0.076478266509408,0.00030555434065149365,0.0012364046129526456,0.0072205978003802955,1.841057525285411e-5,0.06427082701994109,0.11942925935413158,0.00044756613260387915,3.322025548241711e-5
t27,0.08268638770418581,0.07641229304086586,0.000290752326430916,0.0012194287299482987,0.01306493419206965,0.0003296423867990544,0.06473331517952458,0.11942684702430548,0.0004351194418830144,2.955921687833968e-5
t28,0.08269664077376843,0.07641102776037359,0.0002899494277563799,0.0012174383924958877,0.013058005528460101,0.00037970636249430476,0.06472475771357893,0.11942631865499445,0.00043374798586601486,2.9580376974565982e-5
t29,0.08809890858409887,0.07646956445597555,0.00028944230779963766,0.001205334643408408,0.007214969494109046,0.0003719569787491978,0.06425300426881568,0.11943199297060315,0.0004337085495636334,2.9596752903427137e-5
t30,0.0006724907747479923,0.06215973923306245,0.0001243427107820657,0.00010471458365070879,0.004730823062668933,0.0004009929761723461,0.3716125232063755,0.07617019535578147,0.052429508948853634,3.3958689626857555e-5
t31,0.000663033723273157,0.062160720864688664,8.701368591659182e-5,9.762050756792441e-5,0.0046107727582796855,0.00041983735648295313,0.3722990842016991,0.07616542264320694,0.05270676016603783,3.417530525169288e-5
t32,0.0009628255795367075,0.062177673999643204,0.00011429297510650796,0.00011671864617264338,0.0067156561959468555,3.100241349816174e-5,0.10764577145754932,0.09109418017654607,0.18307775433995743,3.640723846155197e-5
t33,0.0009709293708231671,0.06217849549900479,0.00011574841870827044,0.00011690898247901688,0.006721627249849428,2.178578369837698e-5,0.10761407749093661,0.0910991351479857,0.18306847519703687,3.629218490198581e-5
t34,0.0009797207945273583,0.06217945203899142,0.00011675624533147618,0.00011684915801707266,0.006727835016585803,1.9099619204150974e-5,0.10759467473335281,0.09110487370071037,0.18305963500173714,3.692042407849491e-5
t35,0.0009797890731913514,0.06217990996985834,0.00011664634314017283,0.00011706850316117937,0.006727602863605687,1.905211056271214e-5,0.10759455081045462,0.09110628093886196,0.18306023039627264,3.6639932229721504e-5
t36,0.000979582664584631,0.06217995964835555,0.00011643927318599133,0.00011708410853178589,0.006727705107937104,1.9072610288513186e-5,0.10759462652190299,0.09110607943267089,0.18306085152694715,3.714680536732639e-5
t37,0.0009795456207771821,0.0621798957070328,0.00011635093107607114,0.0001170903338212899,0.006727516769821758,1.905796438327892e-5,0.10759469163484463,0.09110567909854358,0.18306102788214013,3.713876538516863e-5
t38,0.0009796392364131497,0.06217980634549002,0.00011630406720749626,0.00011713109342341548,0.0067269820884401366,1.7133693374600357e-5,0.10759474136606427,0.09110558375371995,0.18306095931346722,3.686547776559505e-5
t39,0.0009797471693821609,0.062179480471204744,0.00011589027601999603,0.00011669220766253935,0.0067265268829538784,2.546061137906605e-5,0.10759483861732147,0.09110538110808315,0.1830611915745754,3.620243105263853e-5
t40,0.0010040536940483374,0.06218668859292217,0.00010406730554930998,0.00012530807852427722,0.006736619271031059,2.5338371779855024e-5,0.10758530304158163,0.09110067916300792,0.18302266368933495,3.6931204455701036e-5
t41,0.0009842265062317774,0.06218467497776708,8.623311936010647e-5,0.00011825333826162354,0.006725733572097707,2.5917565106903013e-5,0.10759526642429262,0.09110793937248249,0.18307603044064552,3.0376681986393934e-5
t42,0.0009837842979162756,0.062185193124703685,8.640632349426076e-5,0.00011867606967286187,0.006727643226355043,2.5950633616555677e-5,0.10759515323852845,0.09110795241367799,0.18307566141094406,3.028680465448886e-5
t43,0.000981594890183088,0.06218015670960028,0.00011306138540757903,0.00011687080612391711,0.006727038646063849,2.548255826671915e-5,0.10759464645435374,0.09110507433797203,0.18306236771753573,3.636166038688912e-5
t44,0.000979099000344474,0.06217943977478151,0.00011603800873766592,0.00011665802919685693,0.006726630412020034,2.5460143170327736e-5,0.1075948669236351,0.09110540805757834,0.18306085991418744,3.582975982259864e-5
t45,0.0010454870487456695,0.062192617642740096,0.000101325455302807,0.0001334537982826913,0.006760529290176008,2.5305058436061914e-5,0.10755935740949962,0.09109238755547963,0.18298187886237915,3.6732873109189663e-5
t46,0.0009765293729726862,0.06218748102278671,9.552511158356367e-5,0.00013282361954248574,0.006722253853008929,5.1956555365172004e-5,0.10765441670298967,0.09109735776783953,0.18304996332909915,3.502681922046267e-5
t47,0.0006731495879305022,0.06215928769041289,0.0001235227788748314,0.00010691776955264744,0.0047238157484776845,0.0005546460980806502,0.3716618479643493,0.07617014205824497,0.05245070361744874,3.36574502531769e-5
t48,0.0006729800835236566,0.0621594606248978,0.00012355561247002768,0.00010679772545500423,0.004724093683908533,0.0005551271967196731,0.37165588064911764,0.07616987749927706,0.052449518898203096,3.36737639303623e-5
t49,0.0012348408740309215,0.0760793404819986,6.781022243087896e-5,0.0005118606168310726,0.007082061898249227,0.0005307361828309908,0.1598315520174319,0.11922414960152869,0.0005260150475809543,3.0260902319215973e-5
t50,0.0017928316748217503,0.0761485516257381,6.955206594726729e-5,0.0006104157230309306,0.007676363695090275,0.0005259280168251237,0.15857040782418602,0.11933853041975474,0.0005080128137651698,3.033973579275911e-5
t51,0.009237673616801466,0.07621636746616564,6.907023146659535e-5,0.000949622211631613,0.08836163926405262,0.0028332433295013603,0.07292231640836243,0.11911923025796184,0.0004946376768221131,3.0063655013396482e-5
t52,0.009134237262106808,0.07621747641323678,6.963242617261516e-5,0.0009582902928568503,0.0885452882953544,0.0029108347335234652,0.07286228316232514,0.11911202621828483,0.0004939210188907837,3.003568511355773e-5
t53,0.0006847836842158992,0.062177453286616564,8.61685815923396e-5,0.00011945283051121601,0.006673548872357106,0.0032356978455846883,0.3616302259012899,0.07618015944036609,0.04829414993071707,3.286782631258771e-5
