Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3,Load_H2_MW_z4,Load_H2_MW_z5,Load_H2_MW_z6,Load_H2_MW_z7,Load_H2_MW_z8,Load_H2_MW_z9
,,,,,,,234,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,235,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,236,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,237,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,238,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,239,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,240,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,241,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,242,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,243,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,244,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,245,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,246,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,247,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,248,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,249,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,,250,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
