Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1
,,,,,,,383,92.081
,,,,,,,384,92.081
,,,,,,,385,92.081
,,,,,,,386,92.081
,,,,,,,387,92.081
,,,,,,,388,92.081
,,,,,,,389,92.081
,,,,,,,390,92.081
,,,,,,,391,92.081
,,,,,,,392,92.081
,,,,,,,393,92.081
,,,,,,,394,92.081
,,,,,,,395,92.081
,,,,,,,396,92.081
,,,,,,,397,92.081
,,,,,,,398,92.081
,,,,,,,399,92.081
,,,,,,,400,92.081
,,,,,,,401,92.081
,,,,,,,402,92.081
,,,,,,,403,92.081
,,,,,,,404,92.081
,,,,,,,405,92.081
,,,,,,,406,92.081
,,,,,,,407,92.081
,,,,,,,408,92.081
,,,,,,,409,92.081
,,,,,,,410,92.081
,,,,,,,411,92.081
,,,,,,,412,92.081
,,,,,,,413,92.081
,,,,,,,414,92.081
,,,,,,,415,92.081
,,,,,,,416,92.081
,,,,,,,417,92.081
,,,,,,,418,92.081
,,,,,,,419,92.081
,,,,,,,420,92.081
,,,,,,,421,92.081
,,,,,,,422,92.081
,,,,,,,423,92.081
,,,,,,,424,92.081
,,,,,,,425,92.081
,,,,,,,426,92.081
,,,,,,,427,92.081
,,,,,,,428,92.081
,,,,,,,429,92.081
,,,,,,,430,92.081
,,,,,,,431,92.081
,,,,,,,432,92.081
,,,,,,,433,92.081
,,,,,,,434,92.081
,,,,,,,435,92.081
,,,,,,,436,92.081
,,,,,,,437,92.081
,,,,,,,438,92.081
,,,,,,,439,92.081
,,,,,,,440,92.081
,,,,,,,441,92.081
,,,,,,,442,92.081
,,,,,,,443,92.081
,,,,,,,444,92.081
,,,,,,,445,92.081
,,,,,,,446,92.081
,,,,,,,447,92.081
,,,,,,,448,92.081
,,,,,,,449,92.081
,,,,,,,450,92.081
,,,,,,,451,92.081
,,,,,,,452,92.081
,,,,,,,453,92.081
,,,,,,,454,92.081
,,,,,,,455,92.081
,,,,,,,456,92.081
,,,,,,,457,92.081
,,,,,,,458,92.081
,,,,,,,459,92.081
,,,,,,,460,92.081
,,,,,,,461,92.081
,,,,,,,462,92.081
,,,,,,,463,92.081
,,,,,,,464,92.081
,,,,,,,465,92.081
,,,,,,,466,92.081
,,,,,,,467,92.081
,,,,,,,468,92.081
,,,,,,,469,92.081
,,,,,,,470,92.081
,,,,,,,471,92.081
,,,,,,,472,92.081
,,,,,,,473,92.081
,,,,,,,474,92.081
,,,,,,,475,92.081
,,,,,,,476,92.081
,,,,,,,477,92.081
,,,,,,,478,92.081
,,,,,,,479,92.081
,,,,,,,480,92.081
,,,,,,,481,92.081
,,,,,,,482,92.081
,,,,,,,483,92.081
,,,,,,,484,92.081
,,,,,,,485,92.081
,,,,,,,486,92.081
,,,,,,,487,92.081
,,,,,,,488,92.081
,,,,,,,489,92.081
,,,,,,,490,92.081
,,,,,,,491,92.081
,,,,,,,492,92.081
,,,,,,,493,92.081
,,,,,,,494,92.081
,,,,,,,495,92.081
,,,,,,,496,92.081
,,,,,,,497,92.081
,,,,,,,498,92.081
,,,,,,,499,92.081
,,,,,,,500,92.081
,,,,,,,501,92.081
,,,,,,,502,92.081
,,,,,,,503,92.081
,,,,,,,504,92.081
,,,,,,,505,92.081
,,,,,,,506,92.081
,,,,,,,507,92.081
,,,,,,,508,92.081
,,,,,,,509,92.081
,,,,,,,510,92.081
,,,,,,,511,92.081
,,,,,,,512,92.081
,,,,,,,513,92.081
,,,,,,,514,92.081
,,,,,,,515,92.081
,,,,,,,516,92.081
,,,,,,,517,92.081
,,,,,,,518,92.081
,,,,,,,519,92.081
,,,,,,,520,92.081
,,,,,,,521,92.081
,,,,,,,522,92.081
,,,,,,,523,92.081
,,,,,,,524,92.081
,,,,,,,525,92.081
,,,,,,,526,92.081
,,,,,,,527,92.081
,,,,,,,528,92.081
,,,,,,,529,92.081
,,,,,,,530,92.081
,,,,,,,531,92.081
,,,,,,,532,92.081
,,,,,,,533,92.081
,,,,,,,534,92.081
,,,,,,,535,92.081
,,,,,,,536,92.081
,,,,,,,537,92.081
,,,,,,,538,92.081
,,,,,,,539,92.081
,,,,,,,540,92.081
,,,,,,,541,92.081
,,,,,,,542,92.081
,,,,,,,543,92.081
,,,,,,,544,92.081
,,,,,,,545,92.081
,,,,,,,546,92.081
,,,,,,,547,92.081
,,,,,,,548,92.081
,,,,,,,549,92.081
,,,,,,,550,92.081
,,,,,,,551,92.081
,,,,,,,552,92.081
,,,,,,,553,92.081
,,,,,,,554,92.081
,,,,,,,555,92.081
,,,,,,,556,92.081
,,,,,,,557,92.081
,,,,,,,558,92.081
,,,,,,,559,92.081
,,,,,,,560,92.081
,,,,,,,561,92.081
,,,,,,,562,92.081
,,,,,,,563,92.081
,,,,,,,564,92.081
,,,,,,,565,92.081
,,,,,,,566,92.081
,,,,,,,567,92.081
,,,,,,,568,92.081
,,,,,,,569,92.081
,,,,,,,570,92.081
,,,,,,,571,92.081
,,,,,,,572,92.081
,,,,,,,573,92.081
,,,,,,,574,92.081
,,,,,,,575,92.081
,,,,,,,576,92.081
,,,,,,,577,92.081
,,,,,,,578,92.081
,,,,,,,579,92.081
,,,,,,,580,92.081
,,,,,,,581,92.081
,,,,,,,582,92.081
,,,,,,,583,92.081
,,,,,,,584,92.081
,,,,,,,585,92.081
,,,,,,,586,92.081
,,,,,,,587,92.081
,,,,,,,588,92.081
,,,,,,,589,92.081
,,,,,,,590,92.081
,,,,,,,591,92.081
,,,,,,,592,92.081
,,,,,,,593,92.081
,,,,,,,594,92.081
,,,,,,,595,92.081
,,,,,,,596,92.081
,,,,,,,597,92.081
,,,,,,,598,92.081
,,,,,,,599,92.081
,,,,,,,600,92.081
,,,,,,,601,92.081
,,,,,,,602,92.081
,,,,,,,603,92.081
,,,,,,,604,92.081
,,,,,,,605,92.081
,,,,,,,606,92.081
,,,,,,,607,92.081
,,,,,,,608,92.081
,,,,,,,609,92.081
,,,,,,,610,92.081
,,,,,,,611,92.081
,,,,,,,612,92.081
,,,,,,,613,92.081
,,,,,,,614,92.081
,,,,,,,615,92.081
,,,,,,,616,92.081
,,,,,,,617,92.081
,,,,,,,618,92.081
,,,,,,,619,92.081
,,,,,,,620,92.081
,,,,,,,621,92.081
,,,,,,,622,92.081
,,,,,,,623,92.081
,,,,,,,624,92.081
,,,,,,,625,92.081
,,,,,,,626,92.081
,,,,,,,627,92.081
,,,,,,,628,92.081
,,,,,,,629,92.081
,,,,,,,630,92.081
,,,,,,,631,92.081
,,,,,,,632,92.081
,,,,,,,633,92.081
,,,,,,,634,92.081
,,,,,,,635,92.081
,,,,,,,636,92.081
,,,,,,,637,92.081
,,,,,,,638,92.081
,,,,,,,639,92.081
,,,,,,,640,92.081
,,,,,,,641,92.081
,,,,,,,642,92.081
,,,,,,,643,92.081
,,,,,,,644,92.081
,,,,,,,645,92.081
,,,,,,,646,92.081
,,,,,,,647,92.081
,,,,,,,648,92.081
,,,,,,,649,92.081
,,,,,,,650,92.081
,,,,,,,651,92.081
,,,,,,,652,92.081
,,,,,,,653,92.081
,,,,,,,654,92.081
,,,,,,,655,92.081
,,,,,,,656,92.081
,,,,,,,657,92.081
,,,,,,,658,92.081
,,,,,,,659,92.081
,,,,,,,660,92.081
,,,,,,,661,92.081
,,,,,,,662,92.081
,,,,,,,663,92.081
,,,,,,,664,92.081
,,,,,,,665,92.081
,,,,,,,666,92.081
,,,,,,,667,92.081
,,,,,,,668,92.081
,,,,,,,669,92.081
,,,,,,,670,92.081
,,,,,,,671,92.081
,,,,,,,672,92.081
,,,,,,,673,92.081
,,,,,,,674,92.081
,,,,,,,675,92.081
,,,,,,,676,92.081
,,,,,,,677,92.081
,,,,,,,678,92.081
,,,,,,,679,92.081
,,,,,,,680,92.081
,,,,,,,681,92.081
,,,,,,,682,92.081
,,,,,,,683,92.081
,,,,,,,684,92.081
,,,,,,,685,92.081
,,,,,,,686,92.081
,,,,,,,687,92.081
,,,,,,,688,92.081
,,,,,,,689,92.081
,,,,,,,690,92.081
,,,,,,,691,92.081
,,,,,,,692,92.081
,,,,,,,693,92.081
,,,,,,,694,92.081
,,,,,,,695,92.081
,,,,,,,696,92.081
,,,,,,,697,92.081
,,,,,,,698,92.081
,,,,,,,699,92.081
,,,,,,,700,92.081
,,,,,,,701,92.081
,,,,,,,702,92.081
,,,,,,,703,92.081
,,,,,,,704,92.081
,,,,,,,705,92.081
,,,,,,,706,92.081
,,,,,,,707,92.081
,,,,,,,708,92.081
,,,,,,,709,92.081
,,,,,,,710,92.081
,,,,,,,711,92.081
,,,,,,,712,92.081
,,,,,,,713,92.081
,,,,,,,714,92.081
,,,,,,,715,92.081
,,,,,,,716,92.081
,,,,,,,717,92.081
,,,,,,,718,92.081
,,,,,,,719,92.081
,,,,,,,720,92.081
,,,,,,,721,92.081
,,,,,,,722,92.081
,,,,,,,723,92.081
,,,,,,,724,92.081
,,,,,,,725,92.081
,,,,,,,726,92.081
,,,,,,,727,92.081
,,,,,,,728,92.081
,,,,,,,729,92.081
,,,,,,,730,92.081
,,,,,,,731,92.081
,,,,,,,732,92.081
,,,,,,,733,92.081
,,,,,,,734,92.081
