Resource,Small_Electrolyzer_1,Small_Electrolyzer_2,Small_Electrolyzer_3,Flex_Demand_1,Large_SMR_1,Large_SMR_2,Large_SMR_3,Large_SMR_wCCS_90pct_1,Large_SMR_wCCS_90pct_2,Large_SMR_wCCS_90pct_3,Above_ground_storage_1,Above_ground_storage_2,Above_ground_storage_3
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.16096648699921,415.5378571428569,3398.4918179588403
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.02168775461712,435.97869047619025,3398.4918179588403
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88240902223502,456.4195238095236,3398.4918179588403
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.74313028985293,476.8603571428569,3398.4918179588403
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.60385155747083,497.30119047619024,3398.4918179588403
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.46457282508874,512.0428571428572,3332.935747934229
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.59604570806351,512.0428571428572,3218.7649146008953
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.11751859103829,508.26285714285723,3148.053731109139
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.28899147401307,490.6728571428572,2975.701424892831
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.68046435698786,468.45285714285717,2801.6091186765225
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.92193723996239,439.5128571428572,2624.9868124602144
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.53341012293717,400.9428571428573,2464.1059791268813
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.92488300591197,355.23285714285726,2281.163672910573
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.89635588888675,301.1428571428572,2198.6394082604065
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.07782877186153,242.4228571428572,2017.2229158907671
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.80930165483632,192.8328571428572,1932.1814430077923
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3707745378111,159.8928571428572,1890.4948592839846
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.46224742078588,153.6128571428572,1890.4948592839846
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.46224742078588,153.6128571428572,1890.4948592839846
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.32296868840378,174.05369047619052,1890.4948592839846
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.18368995602169,194.49452380952386,1890.4948592839846
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.04441122363959,214.93535714285719,1890.4948592839846
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9051324912575,235.37619047619052,1890.4948592839846
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7658537588754,243.84535714285715,1890.4948592839846
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6265750264933,264.2861904761905,1889.5480249331324
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4872962941112,284.7270238095238,1889.5480249331324
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.34801756172911,305.16785714285714,1837.2960939124707
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.20873882934701,325.6086904761905,1837.2960939124707
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06946009696492,346.0495238095238,1837.2960939124707
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.93018136458282,366.49035714285714,1760.818534583692
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.20899147401302,366.49285714285696,1760.818534583692
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.20899147401302,366.49285714285696,1760.818534583692
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.9404643569876,352.1728571428573,1699.7099404659716
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.30193723996238,318.0528571428573,1642.7556825623583
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.97341012293717,279.8228571428573,1494.4468946393147
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.764883005911955,242.34285714285727,1494.4468946393147
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.38635588888674,209.72285714285726,1407.8931761576605
t159,0.0,0.0,0.0,3.1299999999999955,0.0,0.0,0.0,0.0,0.0,0.0,47.57782877186152,183.59285714285724,1407.8931761576605
t160,0.0,0.0,0.0,7.1299999999999955,0.0,0.0,0.0,0.0,0.0,0.0,41.90930165483631,165.0528571428572,1440.7353668524715
t161,0.0,0.0,0.0,11.129999999999995,0.0,0.0,0.0,0.0,0.0,0.0,37.4507745378111,153.6128571428572,1480.383949395637
t162,0.0,0.0,0.0,12.312999999999999,0.0,0.0,0.0,0.0,0.0,0.0,35.46224742078588,153.6128571428572,1525.5225319388026
t163,0.0,0.0,0.0,8.713,0.0,0.0,0.0,0.0,0.0,0.0,36.4637203037607,153.6128571428572,1577.2711144819682
t164,0.0,0.0,0.0,5.1129999999999995,0.0,0.0,0.0,0.0,0.0,0.0,41.14519318673548,162.53369047619054,1637.1796970251337
t165,0.0,0.0,0.0,0.8712999999999997,0.0,0.0,0.0,0.0,0.0,0.0,46.00591445435339,182.97452380952387,1703.6982795682993
t166,0.0,0.0,0.0,0.8712999999999997,0.0,0.0,0.0,0.0,0.0,0.0,50.86663572197129,203.4153571428572,1753.8061654240996
t167,0.0,0.0,0.0,0.08712999999999993,0.0,0.0,0.0,0.0,0.0,0.0,55.7273569895892,223.85619047619053,1784.452611067647
t168,0.0,0.0,0.0,0.08712999999999993,0.0,0.0,0.0,0.0,0.0,0.0,60.5880782572071,244.29702380952386,1797.9165853487336
