t,SE_Electrolyzer_H2Gen,MIDAT_Electrolyzer_H2Gen,NE_Electrolyzer_H2Gen,SE_Large_SMR_wCCS_96pct_H2Gen,MIDAT_Large_SMR_wCCS_96pct_H2Gen,NE_Large_SMR_wCCS_96pct_H2Gen,SE_ATR_wCCS_94pct_H2Gen,MIDAT_ATR_wCCS_94pct_H2Gen,NE_ATR_wCCS_94pct_H2Gen,SE_Above_ground_storage_H2Gen,MIDAT_Above_ground_storage_H2Gen,NE_Above_ground_storage_H2Gen
2504,18222.637994901474,4234.49374372453,611.4404359714295,4.27341342959613e-25,3825.6765435905254,1514.1187619626069,8.466654700427598e-26,1.0429284271045363e-25,9.108364614921073e-26,1.716757129423722e-26,1.7682032838383802e-26,1.8348966007952735e-26
2505,18222.637994901474,4234.49374372453,611.4404359714295,4.273507882622662e-25,3825.6765435905254,1514.1187619626269,8.465411456688719e-26,1.042854893466485e-25,9.100501052862307e-26,1.7337308549190015e-26,1.7893598237394697e-26,1.8595898333807054e-26
2506,18222.637994901474,4234.49374372453,611.4404359714293,4.2732670040716035e-25,3825.676543590527,1514.118761962624,8.461740703278071e-26,1.0425670975101466e-25,9.089488154054084e-26,1.7421225921701517e-26,1.7909836561340186e-26,1.8577780879274264e-26
2507,18222.637994901474,4234.49374372453,611.4404359714295,4.273315437088689e-25,3825.6765435905236,1514.118761962642,8.457635563646993e-26,1.042258025341654e-25,9.076205877331027e-26,1.7530952177666097e-26,1.798079286000908e-26,1.8742042039162654e-26
2508,18222.637994901474,4234.49374372453,611.4404359714295,4.273667076661134e-25,3825.6765435905027,1514.1187619626319,8.452811614379066e-26,1.041919696663019e-25,9.054034375496439e-26,1.7717887069784028e-26,1.82957345822168e-26,1.8790321168800356e-26
2509,18222.637994901474,4234.49374372453,611.4404359714293,4.273534085068981e-25,3825.6765435905368,1514.1187619626255,8.445209569376602e-26,1.0413774302132976e-25,9.035074955263915e-26,1.8126623196676302e-26,1.8569285168070775e-26,1.7407030958278325e-26
2510,18222.637994901474,2871.161488384246,611.4404359714295,4.273717661108014e-25,3825.676543590526,1514.1187619626369,8.431916073530031e-26,1.0404368385977757e-25,9.009290173761224e-26,3.074603128516744e-26,669.1619680252275,2.447848831100116e-26
2511,2024.7375549890528,470.4993048582811,67.93782621904772,4.274946791634383e-25,3825.676543590526,1514.1187619626369,8.418602903433712e-26,1.0392630893568992e-25,8.96875563976134e-26,12746.262445010947,3069.824151551193,229.94341181831564
2512,2024.7375549890528,470.4993048582811,67.93782621904772,4.276272579014684e-25,3825.676543590526,1514.1187619626367,8.406981033860199e-26,1.0385771524881906e-25,8.925788563930404e-26,12746.262445010947,3069.8241515511927,229.9434118183155
2513,2024.7375549890528,470.4993048582811,67.93782621904772,4.279100593982585e-25,3825.676543590526,1514.1187619626367,8.395399243582199e-26,1.038027653987792e-25,8.507993805819732e-26,12746.262445010947,3069.824151551193,4792.950529259216
