Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,399,128670.0,94405.0,38294.0
,,,,,,,,400,128041.0,94344.0,38617.0
,,,,,,,,401,128454.0,97117.0,41226.0
,,,,,,,,402,134853.0,104379.0,43536.0
,,,,,,,,403,141082.0,105683.0,43169.0
,,,,,,,,404,141654.0,104868.0,42199.0
,,,,,,,,405,138464.0,102737.0,40588.0
,,,,,,,,406,132462.0,98301.0,37969.0
,,,,,,,,407,123005.0,91061.0,34350.0
,,,,,,,,408,112561.0,83482.0,30956.0
,,,,,,,,409,104011.0,77886.0,28410.0
,,,,,,,,410,98637.0,74653.0,26859.0
,,,,,,,,411,95597.0,73214.0,26068.0
,,,,,,,,412,94644.0,72858.0,25858.0
,,,,,,,,413,96054.0,74824.0,26437.0
,,,,,,,,414,101748.0,80445.0,28778.0
,,,,,,,,415,114114.0,90887.0,33333.0
,,,,,,,,416,122780.0,97704.0,36122.0
,,,,,,,,417,125563.0,98469.0,37000.0
,,,,,,,,418,126152.0,98288.0,37480.0
,,,,,,,,419,127170.0,98140.0,37793.0
,,,,,,,,420,127900.0,97591.0,37883.0
,,,,,,,,421,128360.0,96673.0,37855.0
,,,,,,,,422,128506.0,96290.0,37990.0
,,,,,,,,423,128218.0,95793.0,37957.0
,,,,,,,,424,127692.0,95786.0,38549.0
,,,,,,,,425,128722.0,99801.0,41730.0
,,,,,,,,426,135092.0,109426.0,44699.0
,,,,,,,,427,142606.0,112314.0,44868.0
,,,,,,,,428,143093.0,111933.0,43850.0
,,,,,,,,429,140134.0,110143.0,42150.0
,,,,,,,,430,134750.0,106672.0,39735.0
,,,,,,,,431,126284.0,100061.0,36295.0
,,,,,,,,432,116422.0,92969.0,32875.0
,,,,,,,,433,108161.0,87753.0,30575.0
,,,,,,,,434,103124.0,85336.0,29398.0
,,,,,,,,435,101034.0,84612.0,28745.0
,,,,,,,,436,100063.0,85054.0,28676.0
,,,,,,,,437,101378.0,87675.0,29521.0
,,,,,,,,438,107469.0,94413.0,32127.0
,,,,,,,,439,120301.0,105362.0,36833.0
,,,,,,,,440,129283.0,111609.0,39392.0
,,,,,,,,441,131307.0,110798.0,39947.0
,,,,,,,,442,131573.0,108368.0,40114.0
,,,,,,,,443,132666.0,106618.0,40058.0
,,,,,,,,444,133421.0,104446.0,39742.0
,,,,,,,,445,133460.0,102106.0,39309.0
,,,,,,,,446,133616.0,101020.0,39108.0
,,,,,,,,447,133359.0,100074.0,38880.0
,,,,,,,,448,133236.0,100329.0,39384.0
,,,,,,,,449,134318.0,104842.0,42641.0
,,,,,,,,450,140519.0,114239.0,45833.0
,,,,,,,,451,147236.0,116450.0,45976.0
,,,,,,,,452,147196.0,115377.0,44899.0
,,,,,,,,453,144028.0,113380.0,43209.0
,,,,,,,,454,138290.0,109441.0,40743.0
,,,,,,,,455,129480.0,101992.0,37225.0
,,,,,,,,456,118513.0,94049.0,33760.0
,,,,,,,,457,109754.0,88912.0,31366.0
,,,,,,,,458,104366.0,85417.0,30025.0
,,,,,,,,459,101236.0,83912.0,29286.0
,,,,,,,,460,100111.0,83471.0,29095.0
,,,,,,,,461,100889.0,84904.0,29713.0
,,,,,,,,462,106512.0,89845.0,32052.0
,,,,,,,,463,118449.0,99295.0,36458.0
,,,,,,,,464,127050.0,105111.0,39159.0
,,,,,,,,465,130017.0,105579.0,39922.0
,,,,,,,,466,130893.0,105564.0,40241.0
,,,,,,,,467,132193.0,105474.0,40388.0
,,,,,,,,468,132131.0,104441.0,40265.0
,,,,,,,,469,131470.0,103428.0,40005.0
,,,,,,,,470,131154.0,102582.0,39998.0
,,,,,,,,471,130631.0,101609.0,39858.0
