Time_Index,lignite,coal,ng,ngccus90,oil,biomass,uranium,None
230,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
231,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
232,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
233,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
234,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
235,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
236,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
237,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
238,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
239,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
240,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
241,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
242,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
243,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
244,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
245,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
246,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
247,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
248,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
249,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
250,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
251,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
252,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
253,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
254,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
255,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
256,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
257,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
258,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
259,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
260,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
