Global_conventional_diesel_price_per_mmbtu,Conventional_diesel_co2_per_mmbtu,Syn_diesel_co2_per_mmbtu,Bio_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,,343,69613,44748,28273
,,,,344,69613,44748,28273
,,,,345,69613,44748,28273
,,,,346,69613,44748,28273
,,,,347,69613,44748,28273
,,,,348,69613,44748,28273
,,,,349,69613,44748,28273
,,,,350,69613,44748,28273
,,,,351,69613,44748,28273
,,,,352,69613,44748,28273
,,,,353,69613,44748,28273
,,,,354,69613,44748,28273
,,,,355,69613,44748,28273
,,,,356,69613,44748,28273
,,,,357,69613,44748,28273
,,,,358,69613,44748,28273
,,,,359,69613,44748,28273
,,,,360,69613,44748,28273
,,,,361,69613,44748,28273
,,,,362,69613,44748,28273
,,,,363,69613,44748,28273
,,,,364,69613,44748,28273
,,,,365,69613,44748,28273
,,,,366,69613,44748,28273
,,,,367,69613,44748,28273
,,,,368,69613,44748,28273
,,,,369,69613,44748,28273
,,,,370,69613,44748,28273
,,,,371,69613,44748,28273
,,,,372,69613,44748,28273
,,,,373,69613,44748,28273
,,,,374,69613,44748,28273
,,,,375,69613,44748,28273
,,,,376,69613,44748,28273
,,,,377,69613,44748,28273
,,,,378,69613,44748,28273
,,,,379,69613,44748,28273
,,,,380,69613,44748,28273
,,,,381,69613,44748,28273
,,,,382,69613,44748,28273
,,,,383,69613,44748,28273
,,,,384,69613,44748,28273
,,,,385,69613,44748,28273
,,,,386,69613,44748,28273
,,,,387,69613,44748,28273
,,,,388,69613,44748,28273
,,,,389,69613,44748,28273
,,,,390,69613,44748,28273
,,,,391,69613,44748,28273
,,,,392,69613,44748,28273
,,,,393,69613,44748,28273
,,,,394,69613,44748,28273
,,,,395,69613,44748,28273
,,,,396,69613,44748,28273
,,,,397,69613,44748,28273
,,,,398,69613,44748,28273
,,,,399,69613,44748,28273
,,,,400,69613,44748,28273
,,,,401,69613,44748,28273
,,,,402,69613,44748,28273
,,,,403,69613,44748,28273
,,,,404,69613,44748,28273
,,,,405,69613,44748,28273
,,,,406,69613,44748,28273
,,,,407,69613,44748,28273
,,,,408,69613,44748,28273
,,,,409,69613,44748,28273
,,,,410,69613,44748,28273
,,,,411,69613,44748,28273
,,,,412,69613,44748,28273
,,,,413,69613,44748,28273
,,,,414,69613,44748,28273
,,,,415,69613,44748,28273
,,,,416,69613,44748,28273
,,,,417,69613,44748,28273
,,,,418,69613,44748,28273
,,,,419,69613,44748,28273
,,,,420,69613,44748,28273
,,,,421,69613,44748,28273
,,,,422,69613,44748,28273
,,,,423,69613,44748,28273
,,,,424,69613,44748,28273
,,,,425,69613,44748,28273
,,,,426,69613,44748,28273
,,,,427,69613,44748,28273
,,,,428,69613,44748,28273
,,,,429,69613,44748,28273
,,,,430,69613,44748,28273
,,,,431,69613,44748,28273
,,,,432,69613,44748,28273
,,,,433,69613,44748,28273
,,,,434,69613,44748,28273
,,,,435,69613,44748,28273
,,,,436,69613,44748,28273
,,,,437,69613,44748,28273
,,,,438,69613,44748,28273
,,,,439,69613,44748,28273
,,,,440,69613,44748,28273
,,,,441,69613,44748,28273
,,,,442,69613,44748,28273
,,,,443,69613,44748,28273
,,,,444,69613,44748,28273
,,,,445,69613,44748,28273
,,,,446,69613,44748,28273
,,,,447,69613,44748,28273
,,,,448,69613,44748,28273
,,,,449,69613,44748,28273
,,,,450,69613,44748,28273
,,,,451,69613,44748,28273
,,,,452,69613,44748,28273
,,,,453,69613,44748,28273
,,,,454,69613,44748,28273
,,,,455,69613,44748,28273
,,,,456,69613,44748,28273
,,,,457,69613,44748,28273
,,,,458,69613,44748,28273
,,,,459,69613,44748,28273
,,,,460,69613,44748,28273
,,,,461,69613,44748,28273
,,,,462,69613,44748,28273
,,,,463,69613,44748,28273
,,,,464,69613,44748,28273
,,,,465,69613,44748,28273
,,,,466,69613,44748,28273
,,,,467,69613,44748,28273
,,,,468,69613,44748,28273
,,,,469,69613,44748,28273
,,,,470,69613,44748,28273
,,,,471,69613,44748,28273
,,,,472,69613,44748,28273
