Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7
,,,,,,,149,3.96,23.31,8.78,18.08,6.17,13.14,0
,,,,,,,150,6.5,38.25,14.4,29.67,10.13,21.56,0
,,,,,,,151,9.93,58.42,22,45.32,15.47,32.93,0
,,,,,,,152,14.06,82.7,31.15,64.15,21.9,46.62,0
,,,,,,,153,18.37,108.1,40.71,83.86,28.62,60.94,0
,,,,,,,154,23.64,139.11,52.39,107.91,36.83,78.42,0
,,,,,,,155,27.01,158.91,59.84,123.27,42.08,89.58,0
,,,,,,,156,27.7,163.02,61.39,126.45,43.16,91.89,0
,,,,,,,157,27.58,162.27,61.11,125.88,42.97,91.47,0
,,,,,,,158,26.75,157.41,59.28,122.11,41.68,88.73,0
,,,,,,,159,26.18,154.05,58.01,119.5,40.79,86.84,0
,,,,,,,160,25.04,147.33,55.48,114.28,39.01,83.05,0
,,,,,,,161,23.83,140.23,52.81,108.78,37.13,79.05,0
,,,,,,,162,21.36,125.66,47.32,97.48,33.27,70.83,0
,,,,,,,163,18.37,108.1,40.71,83.86,28.62,60.94,0
,,,,,,,164,14.69,86.44,32.55,67.05,22.89,48.73,0
,,,,,,,165,11.71,68.88,25.94,53.43,18.24,38.83,0
,,,,,,,166,9.1,53.57,20.17,41.55,14.18,30.2,0
,,,,,,,167,6.56,38.62,14.55,29.96,10.23,21.77,0
,,,,,,,168,4.47,26.3,9.9,20.4,6.96,14.82,0
