Time_Index,None,east_north_central_reference_naturalgas,south_atlantic_reference_naturalgas,east_north_central_reference_uranium,south_atlantic_reference_uranium,middle_atlantic_reference_naturalgas,middle_atlantic_reference_uranium,east_south_central_reference_naturalgas,east_south_central_reference_uranium,east_north_central_reference_coal,south_atlantic_reference_coal,middle_atlantic_reference_coal,east_south_central_reference_coal
90,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
91,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
92,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
93,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
94,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
95,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
96,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
97,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
98,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
99,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
100,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
101,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
102,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
103,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
104,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
105,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
106,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
107,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
108,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
109,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
110,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
111,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
112,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
113,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
114,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
