,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
t59,0.0,0,0,0.5285271170252166,-0.0,0.0,19.371472882974782,0,0.0,-19.9,17.73916666666665,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-117.1,145.13609244365082,0,0,0.0,-0.0,0.0,-101.03609244365083,0,0.0,-44.1
t60,0.0,0,0,1.25852711702521,-0.0,0.0,19.371472882974782,0,0.0,-20.63,22.03916666666666,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-121.4,173.6785440954648,0,0,0.0,-9.226237879156667,0.0,-118.73230621630813,0,0.0,-45.72
t61,0.0,0,0,2.5585271170252177,-0.0,0.0,19.371472882974782,0,0.0,-21.93,25.429166666666646,0.0,-0.0,4.219999999999999,-0.0,0.0,99.36083333333335,0,0.0,-129.01,141.17268800841566,0,0,0.0,-0.0,0.0,-92.59268800841566,0,0.0,-48.58
t62,0.0,0,0,3.3985271170252247,-0.0,0.0,19.371472882974782,0,0.0,-22.77,25.429166666666646,0.0,-0.0,9.180000000000007,-0.0,0.0,99.36083333333335,0,0.0,-133.97,118.63015047444401,0,0,0.0,-0.0,0.0,-68.18015047444399,0,0.0,-50.45
t63,0.0,0,0,5.248527117025205,-0.0,0.0,19.371472882974782,0,0.0,-24.62,25.429166666666646,0.0,-0.0,20.099999999999994,-0.0,0.0,99.36083333333335,0,0.0,-144.89,118.62200711582817,0,0,31.721582914750343,-0.0,0.0,-95.78359003056818,0,0.0,-54.56
t64,0.0,0,0,6.768527117025219,-0.0,0.0,19.371472882974782,0,0.0,-26.14,25.429166666666646,0.0,-0.0,29.03,-0.0,0.0,99.36083333333335,0,0.0,-153.82,107.76259371469732,0,0,0.0,-0.0,0.0,-49.832593714697325,0,0.0,-57.93
t65,0.0,0,0,6.038527117025218,-0.0,0.0,19.371472882974782,0,0.0,-25.41,25.429166666666646,0.0,-0.0,24.730000000000018,-0.0,0.0,99.36083333333335,0,0.0,-149.52,91.43157518516144,0,0,0.0,-0.0,0.0,-35.12157518516142,0,0.0,-56.31
t66,0.0,0,0,4.518527117025219,-0.0,0.0,19.371472882974782,0,0.0,-23.89,25.429166666666646,0.0,-0.0,15.800000000000011,-0.0,0.0,99.36083333333335,0,0.0,-140.59,129.86875333461703,0,0,0.0,-0.0,0.0,-76.92875333461697,0,0.0,-52.94
t67,0.0,0,0,0.30852711702521773,-0.0,0.0,19.371472882974782,0,0.0,-19.68,16.419166666666655,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-115.78,148.3069268064392,0,0,0.0,-0.0,0.0,-104.7069268064392,0,0.0,-43.6
t68,0.0,0,0,0.0,-4.860721267617902,0.0,19.3107212676179,0,0.0,-14.45,0.0,0.0,-0.0,0.0,-0.0,0.0,85.01,0,0.0,-85.01,104.49601933131888,0,0,0.0,-0.0,0.0,-72.47601933131882,0,0.0,-32.02
t69,0.0,0,0,0.0,-3.16180872315158,0.0,13.621808723151581,0,0.0,-10.46,0.0,0.0,-0.0,0.0,-0.0,0.0,61.53,0,0.0,-61.53,121.14666616836199,0,0,0.0,-0.0,0.0,-97.97666616836196,0,0.0,-23.17
t70,0.0,0,0,0.0,-4.860721267617902,0.0,12.730721267617902,0,0.0,-7.87,0.0,0.0,-0.0,0.0,-0.0,0.0,46.31,0,0.0,-46.31,137.92130043383312,0,0,0.0,-1.7489942175249777,0.0,-118.73230621630813,0,0.0,-17.44
t71,0.0,0,0,0.0,-4.860721267617902,0.0,9.530721267617903,0,0.0,-4.67,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,47.90083333333334,0,0.0,-27.46,182.73606846637418,0,0,0.0,-53.66376225006606,0.0,-118.73230621630813,0,0.0,-10.34
t72,0.0,0,0,0.0,-4.860721267617902,0.0,7.500721267617905,0,0.0,-2.64,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,35.99083333333334,0,0.0,-15.55,176.674928704709,0,0,0.0,-52.09262248840091,0.0,-118.73230621630813,0,0.0,-5.85
t73,0.0,0,0,0.0,-4.860721267617902,0.0,6.620721267617902,0,0.0,-1.76,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,30.800833333333344,0,0.0,-10.36,179.72804553762424,0,0,0.0,-57.09573932131612,0.0,-118.73230621630813,0,0.0,-3.9
t74,0.0,0,0,0.0,-4.860721267617902,0.0,6.150721267617897,0,0.0,-1.29,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,28.04083333333334,0,0.0,-7.6,186.99281308499323,0,0,0.0,-65.40050686868513,0.0,-118.73230621630813,0,0.0,-2.86
t75,0.0,0,0,0.0,-4.860721267617902,0.0,6.680721267617901,0,0.0,-1.82,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,31.15083333333334,0,0.0,-10.71,208.1154919147891,0,0,0.0,-85.353185698481,0.0,-118.73230621630813,0,0.0,-4.03
