Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,317,1569.36,881.63,315.01
,,,318,1569.36,881.63,315.01
,,,319,1569.36,881.63,315.01
,,,320,1569.36,881.63,315.01
,,,321,1569.36,881.63,315.01
,,,322,1569.36,881.63,315.01
,,,323,1569.36,881.63,315.01
,,,324,1569.36,881.63,315.01
,,,325,1569.36,881.63,315.01
,,,326,1569.36,881.63,315.01
,,,327,1569.36,881.63,315.01
,,,328,1569.36,881.63,315.01
,,,329,1569.36,881.63,315.01
,,,330,1569.36,881.63,315.01
,,,331,1569.36,881.63,315.01
,,,332,1569.36,881.63,315.01
,,,333,1569.36,881.63,315.01
,,,334,1569.36,881.63,315.01
,,,335,1569.36,881.63,315.01
,,,336,1569.36,881.63,315.01
,,,337,1569.36,881.63,315.01
,,,338,1569.36,881.63,315.01
,,,339,1569.36,881.63,315.01
,,,340,1569.36,881.63,315.01
,,,341,1569.36,881.63,315.01
,,,342,1569.36,881.63,315.01
,,,343,1569.36,881.63,315.01
,,,344,1569.36,881.63,315.01
,,,345,1569.36,881.63,315.01
,,,346,1569.36,881.63,315.01
,,,347,1569.36,881.63,315.01
,,,348,1569.36,881.63,315.01
,,,349,1569.36,881.63,315.01
,,,350,1569.36,881.63,315.01
,,,351,1569.36,881.63,315.01
,,,352,1569.36,881.63,315.01
,,,353,1569.36,881.63,315.01
,,,354,1569.36,881.63,315.01
,,,355,1569.36,881.63,315.01
,,,356,1569.36,881.63,315.01
,,,357,1569.36,881.63,315.01
,,,358,1569.36,881.63,315.01
,,,359,1569.36,881.63,315.01
,,,360,1569.36,881.63,315.01
,,,361,1569.36,881.63,315.01
,,,362,1569.36,881.63,315.01
,,,363,1569.36,881.63,315.01
,,,364,1569.36,881.63,315.01
,,,365,1569.36,881.63,315.01
,,,366,1569.36,881.63,315.01
,,,367,1569.36,881.63,315.01
,,,368,1569.36,881.63,315.01
,,,369,1569.36,881.63,315.01
,,,370,1569.36,881.63,315.01
,,,371,1569.36,881.63,315.01
,,,372,1569.36,881.63,315.01
,,,373,1569.36,881.63,315.01
,,,374,1569.36,881.63,315.01
,,,375,1569.36,881.63,315.01
,,,376,1569.36,881.63,315.01
,,,377,1569.36,881.63,315.01
,,,378,1569.36,881.63,315.01
,,,379,1569.36,881.63,315.01
,,,380,1569.36,881.63,315.01
,,,381,1569.36,881.63,315.01
,,,382,1569.36,881.63,315.01
,,,383,1569.36,881.63,315.01
,,,384,1569.36,881.63,315.01
,,,385,1569.36,881.63,315.01
,,,386,1569.36,881.63,315.01
,,,387,1569.36,881.63,315.01
,,,388,1569.36,881.63,315.01
,,,389,1569.36,881.63,315.01
,,,390,1569.36,881.63,315.01
,,,391,1569.36,881.63,315.01
