 137   1.86842657e+11  1.86842423e+11  1.16e-01 3.81e-03  4.58e-02  1042s
 138   1.86842639e+11  1.86842423e+11  1.07e-01 3.51e-03  4.23e-02  1047s
 139   1.86842590e+11  1.86842425e+11  8.15e-02 3.46e-03  3.25e-02  1052s
 140   1.86842552e+11  1.86842426e+11  6.64e-02 2.60e-03  2.48e-02  1058s
 141   1.86842510e+11  1.86842427e+11  1.35e-01 1.27e-03  1.65e-02  1063s
 142   1.86842505e+11  1.86842427e+11  1.28e-01 9.74e-04  1.55e-02  1068s
 143   1.86842453e+11  1.86842428e+11  4.78e-02 1.08e-03  5.13e-03  1073s
 144   1.86842453e+11  1.86842428e+11  4.67e-02 1.06e-03  5.00e-03  1078s
 145   1.86842450e+11  1.86842428e+11  4.25e-02 9.76e-04  4.44e-03  1082s
 146   1.86842447e+11  1.86842428e+11  3.79e-02 8.50e-04  3.84e-03  1085s
 147   1.86842441e+11  1.86842428e+11  2.76e-02 7.79e-04  2.59e-03  1089s
 148   1.86842441e+11  1.86842428e+11  2.73e-02 7.75e-04  2.55e-03  1093s
 149   1.86842440e+11  1.86842428e+11  2.69e-02 7.21e-04  2.51e-03  1097s
 150   1.86842440e+11  1.86842428e+11  2.65e-02 6.64e-04  2.46e-03  1101s
 151   1.86842438e+11  1.86842428e+11  2.20e-02 1.61e-04  1.93e-03  1105s
 152   1.86842434e+11  1.86842428e+11  1.53e-02 3.81e-05  1.26e-03  1108s
 153   1.86842434e+11  1.86842428e+11  1.53e-02 3.77e-05  1.26e-03  1112s
 154   1.86842434e+11  1.86842428e+11  1.10e-02 3.94e-05  1.25e-03  1116s
 155   1.86842434e+11  1.86842428e+11  1.38e-02 6.92e-04  1.24e-03  1121s
 156   1.86842434e+11  1.86842428e+11  1.36e-02 6.50e-04  1.22e-03  1127s
 157   1.86842434e+11  1.86842428e+11  1.26e-02 6.43e-04  1.13e-03  1132s
 158   1.86842434e+11  1.86842428e+11  1.24e-02 7.88e-04  1.11e-03  1137s
 159   1.86842434e+11  1.86842428e+11  1.20e-02 8.32e-04  1.10e-03  1143s
 160   1.86842434e+11  1.86842428e+11  1.20e-02 8.26e-04  1.09e-03  1148s
 161   1.86842433e+11  1.86842428e+11  1.23e-02 7.97e-04  1.07e-03  1153s
 162   1.86842433e+11  1.86842428e+11  1.07e-02 7.78e-04  9.62e-04  1158s
 163   1.86842432e+11  1.86842428e+11  5.40e-03 9.56e-04  8.58e-04  1163s
 164   1.86842432e+11  1.86842428e+11  5.26e-03 9.04e-04  8.34e-04  1168s
 165   1.86842432e+11  1.86842428e+11  5.20e-03 8.88e-04  8.26e-04  1173s
 166   1.86842432e+11  1.86842428e+11  4.80e-03 8.12e-04  7.62e-04  1178s
 167   1.86842432e+11  1.86842428e+11  4.52e-03 7.80e-04  7.18e-04  1183s
 168   1.86842432e+11  1.86842428e+11  4.48e-03 7.59e-04  7.12e-04  1188s
 169   1.86842431e+11  1.86842428e+11  4.12e-03 7.43e-04  6.56e-04  1193s
 170   1.86842431e+11  1.86842428e+11  4.11e-03 6.77e-04  6.54e-04  1198s
 171   1.86842431e+11  1.86842428e+11  4.10e-03 2.04e-03  6.52e-04  1204s
 172   1.86842431e+11  1.86842428e+11  4.04e-03 2.03e-03  6.42e-04  1209s
 173   1.86842431e+11  1.86842428e+11  3.99e-03 2.00e-03  6.33e-04  1214s
 174   1.86842431e+11  1.86842428e+11  3.87e-03 1.91e-03  6.15e-04  1219s
 175   1.86842431e+11  1.86842428e+11  3.66e-03 1.55e-03  5.81e-04  1224s
 176   1.86842431e+11  1.86842428e+11  3.58e-03 1.54e-03  5.68e-04  1229s
 177   1.86842431e+11  1.86842428e+11  3.46e-03 1.38e-03  5.49e-04  1234s
 178   1.86842431e+11  1.86842428e+11  3.44e-03 1.38e-03  5.46e-04  1239s
 179   1.86842431e+11  1.86842428e+11  3.43e-03 1.37e-03  5.44e-04  1244s
 180   1.86842431e+11  1.86842428e+11  3.40e-03 1.41e-03  5.41e-04  1249s
 181   1.86842431e+11  1.86842428e+11  3.33e-03 1.37e-03  5.29e-04  1254s
 182   1.86842431e+11  1.86842428e+11  3.12e-03 1.15e-03  4.95e-04  1259s
 183   1.86842431e+11  1.86842428e+11  3.05e-03 1.10e-03  4.84e-04  1264s
 184   1.86842430e+11  1.86842428e+11  3.04e-03 1.10e-03  4.82e-04  1269s
 185   1.86842430e+11  1.86842428e+11  4.22e-03 1.05e-03  4.80e-04  1274s
 186   1.86842430e+11  1.86842428e+11  2.48e-03 9.03e-04  3.96e-04  1279s
 187   1.86842430e+11  1.86842428e+11  2.36e-03 8.83e-04  3.77e-04  1284s
 188   1.86842430e+11  1.86842428e+11  2.28e-03 8.68e-04  3.65e-04  1289s
 189   1.86842430e+11  1.86842428e+11  2.28e-03 8.67e-04  3.64e-04  1294s
 190   1.86842430e+11  1.86842428e+11  9.55e-03 8.04e-04  3.62e-04  1299s
 191   1.86842430e+11  1.86842428e+11  9.85e-03 7.54e-04  3.61e-04  1304s
 192   1.86842430e+11  1.86842428e+11  8.49e-03 1.26e-03  3.61e-04  1310s
 193   1.86842430e+11  1.86842428e+11  9.10e-03 1.22e-03  3.60e-04  1315s
 194   1.86842430e+11  1.86842428e+11  9.45e-03 1.22e-03  3.57e-04  1320s
 195   1.86842430e+11  1.86842428e+11  9.41e-03 1.22e-03  3.56e-04  1326s
 196   1.86842430e+11  1.86842428e+11  9.50e-03 1.20e-03  3.56e-04  1331s
 197   1.86842430e+11  1.86842428e+11  9.56e-03 1.20e-03  3.55e-04  1336s

Barrier solved model in 197 iterations and 1336.36 seconds (1034.79 work units)
Optimal objective 1.86842441e+11


User-callback calls 88729, time in user-callback 0.15 sec
