Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
131,1.0,0.6279,1.0,0.071059972,0.6423,1.0,0.045648471,1.0,1.0,1.0
132,1.0,0.6575,1.0,0.042385492,0.6722,1.0,0.063592114,1.0,1.0,1.0
133,1.0,0.6482,1.0,0.089992523,0.6526,1.0,0.095929787,1.0,1.0,1.0
134,1.0,0.6391,1.0,0.129399985,0.6397,1.0,0.073528484,1.0,1.0,1.0
135,1.0,0.5776,1.0,0.140253082,0.5868,1.0,0.09993241,1.0,1.0,1.0
136,1.0,0.4757,1.0,0.140412569,0.4965,1.0,0.102977335,1.0,1.0,1.0
137,1.0,0.3383,1.0,0.338652551,0.3819,1.0,0.080296755,1.0,1.0,1.0
138,1.0,0.1684,1.0,0.413234174,0.2233,1.0,0.192715466,1.0,1.0,1.0
139,1.0,0.0868,1.0,0.488830209,0.1236,1.0,0.310765326,1.0,1.0,1.0
140,1.0,0.0487,1.0,0.315008312,0.0592,1.0,0.376608133,1.0,1.0,1.0
141,1.0,0.0,1.0,0.294467419,0.0,1.0,0.381036401,1.0,1.0,1.0
142,1.0,0.0,1.0,0.33345896,0.0,1.0,0.470916688,1.0,1.0,1.0
143,1.0,0.0,1.0,0.247955799,0.0,1.0,0.443783104,1.0,1.0,1.0
144,1.0,0.0,1.0,0.21165216,0.0,1.0,0.426078439,1.0,1.0,1.0
145,1.0,0.0,1.0,0.08057832,0.0,1.0,0.391872585,1.0,1.0,1.0
146,1.0,0.0,1.0,0.05053981,0.0,1.0,0.369980156,1.0,1.0,1.0
147,1.0,0.0,1.0,0.027604669,0.0,1.0,0.293420106,1.0,1.0,1.0
148,1.0,0.0,1.0,0.024256045,0.0,1.0,0.263359457,1.0,1.0,1.0
149,1.0,0.0,1.0,0.022627071,0.0,1.0,0.209918827,1.0,1.0,1.0
150,1.0,0.1238,1.0,0.007028688,0.1169,1.0,0.201831371,1.0,1.0,1.0
151,1.0,0.1126,1.0,0.000443146,0.1345,1.0,0.159745127,1.0,1.0,1.0
152,1.0,0.2482,1.0,0.000209463,0.267,1.0,0.119903788,1.0,1.0,1.0
153,1.0,0.4064,1.0,0.006409309,0.4155,1.0,0.127775416,1.0,1.0,1.0
154,1.0,0.5351,1.0,0.000249937,0.5408,1.0,0.094079047,1.0,1.0,1.0
155,1.0,0.6317,1.0,2.38e-5,0.633,1.0,0.086347684,1.0,1.0,1.0
156,1.0,0.6694,1.0,0.003048241,0.6776,1.0,0.116006024,1.0,1.0,1.0
157,1.0,0.6718,1.0,0.042286195,0.6771,1.0,0.275058508,1.0,1.0,1.0
158,1.0,0.6624,1.0,0.053152397,0.6612,1.0,0.289999306,1.0,1.0,1.0
159,1.0,0.5849,1.0,0.090882063,0.5833,1.0,0.515571296,1.0,1.0,1.0
160,1.0,0.4741,1.0,0.133875713,0.4927,1.0,0.687199116,1.0,1.0,1.0
161,1.0,0.3354,1.0,0.328875691,0.3771,1.0,0.80862993,1.0,1.0,1.0
162,1.0,0.1691,1.0,0.303652883,0.2266,1.0,0.789527178,1.0,1.0,1.0
163,1.0,0.0894,1.0,0.411599845,0.1258,1.0,0.832211196,1.0,1.0,1.0
164,1.0,0.1753,1.0,0.407856643,0.1013,1.0,0.791961193,1.0,1.0,1.0
165,1.0,0.0,1.0,0.466663718,0.0,1.0,0.738780499,1.0,1.0,1.0
166,1.0,0.0,1.0,0.442651212,0.0,1.0,0.638597965,1.0,1.0,1.0
167,1.0,0.0,1.0,0.190238789,0.0,1.0,0.55591768,1.0,1.0,1.0
168,1.0,0.0,1.0,0.081739865,0.0,1.0,0.482379586,1.0,1.0,1.0
