,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss,Power Emissions,H2 Emissions,DAC Emissions,Biorefinery Emissions,Bioresource Emissions,DAC Capture,Biorefinery Capture,CO2 Pipeline Loss
t61,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,247.75580014080006,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t62,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,387.1184377200001,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t63,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,387.1184377200001,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t64,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,387.1184377200001,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t65,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,4264.770454919107,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,387.1184377200001,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t66,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,1023.9071795770536,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t67,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,917.6420152805172,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t68,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,2309.180952464654,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,387.1184377200001,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.22191784977493834
t69,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,387.1184377200001,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
t70,0.0,197.23129720933116,0.0,31.605642824850523,210.57535905844477,-0.0,-5478.311422974092,0.0,0.0,405.26637439957744,0.0,0.0,0.0,-0.0,-0.0,0.5826845415112288,387.1184377200001,192.70651308988263,0.0,0.0,0.0,-0.0,-0.0,0.2219178497749383
