,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
t105,14596.04581173394,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-14596.04581173394
t106,15206.622715515163,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15206.622715515163
t107,15665.869026965069,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15665.869026965069
t108,15885.508567223718,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15885.508567223718
t109,15951.71570136867,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15951.71570136867
t110,16082.028155876194,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16082.028155876194
t111,16082.028155876194,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16082.028155876194
t112,16043.144600902178,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16043.144600902178
t113,16005.311952819344,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16005.311952819344
t114,15773.06152986642,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15773.06152986642
t115,15283.338918572013,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15283.338918572013
t116,14819.888979557349,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-14819.888979557349
t117,14746.955815602409,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-7.986666666666665,-14738.969148935741
t118,14479.420023893083,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13.686666666666664,-14465.733357226416
t119,13252.715333636355,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-20.746666666666663,-13231.968666969691
t120,11895.220002654489,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-25.226666666666663,-11869.993335987821
t121,10829.700414988118,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-25.326666666666664,-10804.373748321452
