Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,,,276,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,277,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,278,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,279,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,280,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,281,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,282,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,283,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,284,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,285,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,286,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,287,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,288,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,289,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,290,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,291,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,292,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,293,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,294,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,295,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,296,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,297,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,298,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,299,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,300,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,301,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,302,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,303,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,304,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,305,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,306,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,307,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,308,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,309,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
