Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,SE_reference_naturalgas_ccs90,SE_reference_naturalgas_ccs100,MIDAT_reference_naturalgas_ccs90,MIDAT_reference_uranium,MIDAT_reference_naturalgas_ccs100,NE_reference_naturalgas_ccs90,NE_reference_naturalgas_ccs100
3496,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3497,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3498,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3499,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3500,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3501,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3502,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3503,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3504,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3505,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3506,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3507,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3508,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3509,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3510,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3511,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3512,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3513,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3514,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3515,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3516,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3517,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3518,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3519,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3520,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3521,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3522,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3523,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3524,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3525,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3526,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3527,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3528,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3529,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3530,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3531,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3532,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3533,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3534,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3535,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3536,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3537,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3538,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3539,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3540,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3541,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3542,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3543,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3544,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3545,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3546,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3547,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3548,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3549,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3550,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3551,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3552,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3553,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3554,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3555,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3556,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3557,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3558,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3559,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3560,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3561,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3562,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3563,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3564,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3565,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3566,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3567,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3568,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3569,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3570,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3571,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3572,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3573,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3574,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3575,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3576,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3577,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3578,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3579,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3580,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3581,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3582,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3583,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3584,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3585,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3586,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3587,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3588,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3589,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3590,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3591,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3592,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3593,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3594,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3595,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3596,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3597,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3598,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3599,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3600,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3601,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3602,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3603,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3604,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3605,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3606,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3607,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3608,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3609,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3610,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3611,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3612,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3613,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3614,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3615,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3616,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3617,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3618,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3619,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3620,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3621,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3622,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3623,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3624,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3625,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3626,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3627,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3628,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3629,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3630,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3631,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3632,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3633,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3634,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3635,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3636,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3637,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3638,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3639,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3640,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3641,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3642,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3643,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3644,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3645,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3646,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3647,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3648,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3649,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3650,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3651,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3652,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3653,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3654,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3655,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3656,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3657,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3658,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3659,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3660,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3661,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3662,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3663,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3664,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3665,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3666,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3667,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3668,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3669,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3670,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3671,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3672,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3673,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3674,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3675,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3676,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3677,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3678,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3679,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3680,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3681,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3682,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3683,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3684,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3685,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3686,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3687,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3688,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3689,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3690,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3691,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3692,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3693,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3694,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3695,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3696,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3697,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3698,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3699,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3700,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3701,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3702,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3703,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3704,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3705,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3706,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3707,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3708,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3709,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3710,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3711,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3712,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3713,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3714,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3715,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3716,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3717,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3718,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3719,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3720,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3721,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3722,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3723,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3724,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3725,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3726,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3727,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3728,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3729,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3730,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3731,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3732,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3733,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3734,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3735,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3736,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3737,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3738,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3739,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3740,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3741,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3742,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3743,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3744,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3745,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3746,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3747,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3748,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3749,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3750,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3751,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3752,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3753,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3754,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
3755,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
