Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,NG_MMBtu_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,CapRes_2,CapRes_3,ESR_1,ESR_2,region,cluster,LDS.1,CCS_Rate
SE_utilitypv_class1_moderate_70_0_2_5,1,0,0,0,0,0,1,0,1,1,0,0,0,955445,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_11,0.8,0,0,1,1,SE,5,0,0
SE_utilitypv_class1_moderate_70_0_2_6,1,0,0,0,0,0,1,0,1,1,0,0,0,1729874,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_12,0.8,0,0,1,1,SE,6,0,0
SE_utilitypv_class1_moderate_70_0_2_7,1,0,0,0,0,0,1,0,1,1,0,0,0,618334,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_13,0.8,0,0,1,1,SE,7,0,0
SE_utilitypv_class1_moderate_70_0_2_8,1,0,0,0,0,0,1,0,1,1,0,0,0,989513,-1,-1,0,0,0,49950.17548,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_14,0.8,0,0,1,1,SE,8,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_1,2,0,0,0,0,0,1,0,1,1,0,0,0,26783,-1,-1,0,0,0,51590.03227,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0.8,0,1,1,MIDAT,1,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_2,2,0,0,0,0,0,1,0,1,1,0,0,0,288617,-1,-1,0,0,0,51590.03227,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0.8,0,1,1,MIDAT,2,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_3,2,0,0,0,0,0,1,0,1,1,0,0,0,115699,-1,-1,0,0,0,51590.03227,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0.8,0,1,1,MIDAT,3,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_4,2,0,0,0,0,0,1,0,1,1,0,0,0,996252,-1,-1,0,0,0,51590.03227,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0.8,0,1,1,MIDAT,4,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_5,2,0,0,0,0,0,1,0,1,1,0,0,0,1212132,-1,-1,0,0,0,51590.03227,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0.8,0,1,1,MIDAT,5,0,0
MIDAT_utilitypv_class1_moderate_70_0_2_6,2,0,0,0,0,0,1,0,1,1,0,0,0,1080112,-1,-1,0,0,0,51590.03227,0,0,15390.48615,0,0,0,0,0,0,None,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_2,0,0.8,0,1,1,MIDAT,6,0,0
