Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
,,,,962,59245
,,,,963,59245
,,,,964,59245
,,,,965,59245
,,,,966,59245
,,,,967,59245
,,,,968,59245
,,,,969,59245
,,,,970,59245
,,,,971,59245
,,,,972,59245
,,,,973,59245
,,,,974,59245
,,,,975,59245
,,,,976,59245
,,,,977,59245
,,,,978,59245
,,,,979,59245
,,,,980,59245
,,,,981,59245
,,,,982,59245
,,,,983,59245
,,,,984,59245
,,,,985,59245
,,,,986,59245
,,,,987,59245
,,,,988,59245
,,,,989,59245
,,,,990,59245
,,,,991,59245
,,,,992,59245
,,,,993,59245
,,,,994,59245
,,,,995,59245
,,,,996,59245
,,,,997,59245
,,,,998,59245
,,,,999,59245
,,,,1000,59245
,,,,1001,59245
,,,,1002,59245
,,,,1003,59245
,,,,1004,59245
,,,,1005,59245
,,,,1006,59245
,,,,1007,59245
,,,,1008,59245
,,,,1009,59245
,,,,1010,59245
,,,,1011,59245
,,,,1012,59245
,,,,1013,59245
,,,,1014,59245
,,,,1015,59245
,,,,1016,59245
,,,,1017,59245
,,,,1018,59245
,,,,1019,59245
,,,,1020,59245
,,,,1021,59245
,,,,1022,59245
,,,,1023,59245
,,,,1024,59245
,,,,1025,59245
,,,,1026,59245
,,,,1027,59245
,,,,1028,59245
,,,,1029,59245
,,,,1030,59245
,,,,1031,59245
,,,,1032,59245
,,,,1033,59245
,,,,1034,59245
,,,,1035,59245
,,,,1036,59245
,,,,1037,59245
,,,,1038,59245
,,,,1039,59245
,,,,1040,59245
,,,,1041,59245
,,,,1042,59245
,,,,1043,59245
,,,,1044,59245
,,,,1045,59245
,,,,1046,59245
,,,,1047,59245
,,,,1048,59245
,,,,1049,59245
,,,,1050,59245
,,,,1051,59245
,,,,1052,59245
,,,,1053,59245
,,,,1054,59245
,,,,1055,59245
,,,,1056,59245
,,,,1057,59245
,,,,1058,59245
,,,,1059,59245
,,,,1060,59245
,,,,1061,59245
,,,,1062,59245
,,,,1063,59245
,,,,1064,59245
,,,,1065,59245
,,,,1066,59245
,,,,1067,59245
,,,,1068,59245
,,,,1069,59245
,,,,1070,59245
,,,,1071,59245
,,,,1072,59245
,,,,1073,59245
