Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,MIDAT_reference_uranium
287,0,4.01,4.93,0.82,4.12,0.82,0.82
288,0,4.01,4.93,0.82,4.12,0.82,0.82
289,0,4.01,4.93,0.82,4.12,0.82,0.82
290,0,4.01,4.93,0.82,4.12,0.82,0.82
291,0,4.01,4.93,0.82,4.12,0.82,0.82
292,0,4.01,4.93,0.82,4.12,0.82,0.82
293,0,4.01,4.93,0.82,4.12,0.82,0.82
294,0,4.01,4.93,0.82,4.12,0.82,0.82
295,0,4.01,4.93,0.82,4.12,0.82,0.82
296,0,4.01,4.93,0.82,4.12,0.82,0.82
297,0,4.01,4.93,0.82,4.12,0.82,0.82
298,0,4.01,4.93,0.82,4.12,0.82,0.82
299,0,4.01,4.93,0.82,4.12,0.82,0.82
300,0,4.01,4.93,0.82,4.12,0.82,0.82
301,0,4.01,4.93,0.82,4.12,0.82,0.82
302,0,4.01,4.93,0.82,4.12,0.82,0.82
303,0,4.01,4.93,0.82,4.12,0.82,0.82
304,0,4.01,4.93,0.82,4.12,0.82,0.82
305,0,4.01,4.93,0.82,4.12,0.82,0.82
306,0,4.01,4.93,0.82,4.12,0.82,0.82
307,0,4.01,4.93,0.82,4.12,0.82,0.82
308,0,4.01,4.93,0.82,4.12,0.82,0.82
309,0,4.01,4.93,0.82,4.12,0.82,0.82
310,0,4.01,4.93,0.82,4.12,0.82,0.82
311,0,4.01,4.93,0.82,4.12,0.82,0.82
312,0,4.01,4.93,0.82,4.12,0.82,0.82
313,0,4.01,4.93,0.82,4.12,0.82,0.82
314,0,4.01,4.93,0.82,4.12,0.82,0.82
315,0,4.01,4.93,0.82,4.12,0.82,0.82
316,0,4.01,4.93,0.82,4.12,0.82,0.82
317,0,4.01,4.93,0.82,4.12,0.82,0.82
318,0,4.01,4.93,0.82,4.12,0.82,0.82
319,0,4.01,4.93,0.82,4.12,0.82,0.82
320,0,4.01,4.93,0.82,4.12,0.82,0.82
321,0,4.01,4.93,0.82,4.12,0.82,0.82
322,0,4.01,4.93,0.82,4.12,0.82,0.82
323,0,4.01,4.93,0.82,4.12,0.82,0.82
324,0,4.01,4.93,0.82,4.12,0.82,0.82
325,0,4.01,4.93,0.82,4.12,0.82,0.82
326,0,4.01,4.93,0.82,4.12,0.82,0.82
327,0,4.01,4.93,0.82,4.12,0.82,0.82
328,0,4.01,4.93,0.82,4.12,0.82,0.82
329,0,4.01,4.93,0.82,4.12,0.82,0.82
330,0,4.01,4.93,0.82,4.12,0.82,0.82
331,0,4.01,4.93,0.82,4.12,0.82,0.82
332,0,4.01,4.93,0.82,4.12,0.82,0.82
333,0,4.01,4.93,0.82,4.12,0.82,0.82
334,0,4.01,4.93,0.82,4.12,0.82,0.82
335,0,4.01,4.93,0.82,4.12,0.82,0.82
336,0,4.01,4.93,0.82,4.12,0.82,0.82
337,0,4.01,4.93,0.82,4.12,0.82,0.82
338,0,4.01,4.93,0.82,4.12,0.82,0.82
339,0,4.01,4.93,0.82,4.12,0.82,0.82
340,0,4.01,4.93,0.82,4.12,0.82,0.82
341,0,4.01,4.93,0.82,4.12,0.82,0.82
342,0,4.01,4.93,0.82,4.12,0.82,0.82
343,0,4.01,4.93,0.82,4.12,0.82,0.82
344,0,4.01,4.93,0.82,4.12,0.82,0.82
345,0,4.01,4.93,0.82,4.12,0.82,0.82
346,0,4.01,4.93,0.82,4.12,0.82,0.82
347,0,4.01,4.93,0.82,4.12,0.82,0.82
348,0,4.01,4.93,0.82,4.12,0.82,0.82
349,0,4.01,4.93,0.82,4.12,0.82,0.82
350,0,4.01,4.93,0.82,4.12,0.82,0.82
351,0,4.01,4.93,0.82,4.12,0.82,0.82
352,0,4.01,4.93,0.82,4.12,0.82,0.82
353,0,4.01,4.93,0.82,4.12,0.82,0.82
354,0,4.01,4.93,0.82,4.12,0.82,0.82
355,0,4.01,4.93,0.82,4.12,0.82,0.82
356,0,4.01,4.93,0.82,4.12,0.82,0.82
357,0,4.01,4.93,0.82,4.12,0.82,0.82
358,0,4.01,4.93,0.82,4.12,0.82,0.82
359,0,4.01,4.93,0.82,4.12,0.82,0.82
360,0,4.01,4.93,0.82,4.12,0.82,0.82
361,0,4.01,4.93,0.82,4.12,0.82,0.82
362,0,4.01,4.93,0.82,4.12,0.82,0.82
363,0,4.01,4.93,0.82,4.12,0.82,0.82
364,0,4.01,4.93,0.82,4.12,0.82,0.82
365,0,4.01,4.93,0.82,4.12,0.82,0.82
366,0,4.01,4.93,0.82,4.12,0.82,0.82
367,0,4.01,4.93,0.82,4.12,0.82,0.82
