Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21495.66479534668,-21585.62808689597,-21831.32745262183
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21597.09032378955,-21665.509226122602,-21965.31085913306
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21690.294266136334,-21691.740516320442,-22054.079266360757
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21197.462294096873,-21176.01737482542,-21609.41607636674
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21309.092026704417,-21227.166261752333,-21705.651364266458
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21433.8121505686,-21313.328558446436,-21797.721070406245
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21586.978346460295,-21439.20661230259,-21921.169425278666
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21768.998650699796,-21608.73382864656,-22074.04122052721
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21374.027863834912,-21221.321115567698,-21645.437971706873
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21515.003193404347,-21445.70456043526,-21752.041445766186
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21528.280334192496,-21524.945508243465,-21959.546965007266
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21587.5330776871,-21554.421338571898,-22108.112727341322
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21700.817370993547,-21704.85133507901,-22258.028279202368
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21243.806910558298,-21305.662779478815,-21816.811103707954
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21403.431818634926,-21412.26536242933,-21954.757108160265
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21538.305404372626,-21556.575459783624,-21983.18286504862
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21659.4024444343,-21763.66663067649,-22123.8820358178
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21007.648338652,-20368.480310690302,-21183.87310429718
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21324.481391663096,-20823.92161620022,-21504.18159748026
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21444.937743467566,-21059.588867613056,-21703.507985331922
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21558.686551627707,-21416.610386423145,-21875.426586764508
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21856.296576612167,-21875.50895360914,-22200.284750298462
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20882.854695925213,-20445.70095004985,-20997.934797398753
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21076.814776081203,-20251.78438657541,-20958.638556801438
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21268.066430231305,-20275.871457528025,-21460.92923476624
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22391.791801849293,-21219.192522603524,-22007.202720390196
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23854.107282974415,-22985.453707847784,-23614.700863833503
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23838.253118679873,-23530.150366848004,-23675.636295789034
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27392.23867527738,-32234.999722644196,-30400.65300124117
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-169732.55703186456,-176686.4643721548,-176048.36053960185
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-648639.7938277329,-635384.0021900843,-655051.4497898096
