Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3
,,,,,,,758,811,773,406
,,,,,,,759,811,773,406
,,,,,,,760,811,773,406
,,,,,,,761,811,773,406
,,,,,,,762,811,773,406
,,,,,,,763,811,773,406
,,,,,,,764,811,773,406
,,,,,,,765,811,773,406
,,,,,,,766,811,773,406
,,,,,,,767,811,773,406
,,,,,,,768,811,773,406
,,,,,,,769,811,773,406
,,,,,,,770,811,773,406
,,,,,,,771,811,773,406
,,,,,,,772,811,773,406
,,,,,,,773,811,773,406
,,,,,,,774,811,773,406
,,,,,,,775,811,773,406
,,,,,,,776,811,773,406
,,,,,,,777,811,773,406
,,,,,,,778,811,773,406
,,,,,,,779,811,773,406
,,,,,,,780,811,773,406
,,,,,,,781,811,773,406
,,,,,,,782,811,773,406
,,,,,,,783,811,773,406
,,,,,,,784,811,773,406
,,,,,,,785,811,773,406
,,,,,,,786,811,773,406
,,,,,,,787,811,773,406
,,,,,,,788,811,773,406
,,,,,,,789,811,773,406
,,,,,,,790,811,773,406
,,,,,,,791,811,773,406
,,,,,,,792,811,773,406
,,,,,,,793,811,773,406
,,,,,,,794,811,773,406
,,,,,,,795,811,773,406
,,,,,,,796,811,773,406
,,,,,,,797,811,773,406
,,,,,,,798,811,773,406
,,,,,,,799,811,773,406
,,,,,,,800,811,773,406
,,,,,,,801,811,773,406
,,,,,,,802,811,773,406
,,,,,,,803,811,773,406
,,,,,,,804,811,773,406
,,,,,,,805,811,773,406
,,,,,,,806,811,773,406
,,,,,,,807,811,773,406
,,,,,,,808,811,773,406
,,,,,,,809,811,773,406
,,,,,,,810,811,773,406
,,,,,,,811,811,773,406
,,,,,,,812,811,773,406
,,,,,,,813,811,773,406
,,,,,,,814,811,773,406
,,,,,,,815,811,773,406
,,,,,,,816,811,773,406
,,,,,,,817,811,773,406
,,,,,,,818,811,773,406
,,,,,,,819,811,773,406
,,,,,,,820,811,773,406
,,,,,,,821,811,773,406
,,,,,,,822,811,773,406
,,,,,,,823,811,773,406
,,,,,,,824,811,773,406
,,,,,,,825,811,773,406
,,,,,,,826,811,773,406
,,,,,,,827,811,773,406
,,,,,,,828,811,773,406
,,,,,,,829,811,773,406
,,,,,,,830,811,773,406
,,,,,,,831,811,773,406
,,,,,,,832,811,773,406
,,,,,,,833,811,773,406
,,,,,,,834,811,773,406
,,,,,,,835,811,773,406
,,,,,,,836,811,773,406
,,,,,,,837,811,773,406
,,,,,,,838,811,773,406
,,,,,,,839,811,773,406
,,,,,,,840,811,773,406
,,,,,,,841,811,773,406
,,,,,,,842,811,773,406
,,,,,,,843,811,773,406
,,,,,,,844,811,773,406
,,,,,,,845,811,773,406
,,,,,,,846,811,773,406
,,,,,,,847,811,773,406
,,,,,,,848,811,773,406
,,,,,,,849,811,773,406
,,,,,,,850,811,773,406
,,,,,,,851,811,773,406
,,,,,,,852,811,773,406
,,,,,,,853,811,773,406
,,,,,,,854,811,773,406
,,,,,,,855,811,773,406
,,,,,,,856,811,773,406
,,,,,,,857,811,773,406
,,,,,,,858,811,773,406
,,,,,,,859,811,773,406
,,,,,,,860,811,773,406
,,,,,,,861,811,773,406
,,,,,,,862,811,773,406
,,,,,,,863,811,773,406
,,,,,,,864,811,773,406
,,,,,,,865,811,773,406
,,,,,,,866,811,773,406
,,,,,,,867,811,773,406
,,,,,,,868,811,773,406
,,,,,,,869,811,773,406
,,,,,,,870,811,773,406
,,,,,,,871,811,773,406
,,,,,,,872,811,773,406
,,,,,,,873,811,773,406
,,,,,,,874,811,773,406
,,,,,,,875,811,773,406
,,,,,,,876,811,773,406
,,,,,,,877,811,773,406
,,,,,,,878,811,773,406
,,,,,,,879,811,773,406
,,,,,,,880,811,773,406
,,,,,,,881,811,773,406
,,,,,,,882,811,773,406
,,,,,,,883,811,773,406
,,,,,,,884,811,773,406
,,,,,,,885,811,773,406
,,,,,,,886,811,773,406
,,,,,,,887,811,773,406
,,,,,,,888,811,773,406
,,,,,,,889,811,773,406
,,,,,,,890,811,773,406
,,,,,,,891,811,773,406
,,,,,,,892,811,773,406
,,,,,,,893,811,773,406
,,,,,,,894,811,773,406
,,,,,,,895,811,773,406
